,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,"Pride Plaza Hotel, Ahmedabad","Judges Bungalow Road, Off S.G. Road, Ahmedabad, Gujarat, 380054, India","5.6 km to city centre
11 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingAirport transferGymRestaurantBathtub,"Rs4,915","Good 6.4
21 Hotels.com guest reviews",,Ahmedabad,12/02/2021,17/02/2021
1,Hyatt Ahmedabad,"Near Vastrapur Lake, Vastrapur, Ahmedabad, Gujarat, 380015, India","4.6 km to city centre
9.9 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs11,985","Fabulous 8.8
97 Hotels.com guest reviews",,Ahmedabad,12/02/2021,17/02/2021
2,Hotel The S G,"1st fl. Norman 2002, Nr. RC. Tech. Institute, Chankyapuri Rd., Ahmedabad, Gujarat, 380060, India","8.0 km to city centre
9.3 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parking,"Rs2,398",,,Ahmedabad,12/02/2021,17/02/2021
3,Hotel The S G,"1st fl. Norman 2002, Nr. RC. Tech. Institute, Chankyapuri Rd., Ahmedabad, Gujarat, 380060, India","8.0 km to city centre
9.3 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parking,"Rs2,398",,,Ahmedabad,12/02/2021,17/02/2021
4,Fortune Landmark-Member ITC Hotel Group,"Ashram Road, Ahmedabad, Gujarat, 380013, India","2.8 km to city centre
5.8 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transferGymRestaurantBathtubInternet access,"Rs6,410","Fabulous 8.6
31 Hotels.com guest reviews",,Ahmedabad,12/02/2021,17/02/2021
5,Cama Hotel,"Khanpur, Ahmedabad, Gujarat, 380001, India","1.4 km to city centre
6.1 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingAirport transferGymRestaurantBar,"Rs5,982","Good 6.6
3 Hotels.com guest reviews",,Ahmedabad,12/02/2021,17/02/2021
6,Cama Hotel,"Khanpur, Ahmedabad, Gujarat, 380001, India","1.4 km to city centre
6.1 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingAirport transferGymRestaurantBar,"Rs5,982","Good 6.6
3 Hotels.com guest reviews",,Ahmedabad,12/02/2021,17/02/2021
7,OYO 8864 Hotel Royal City,"Vastral Ring Road, Char Rasta, Ahmedabad, Gujarat, 382418, India","10 km to city centre
9.3 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingBathtub,"Rs2,249","Very good 8.0
1 Hotels.com guest review",,Ahmedabad,12/02/2021,17/02/2021
8,Hyatt Regency Ahmedabad,"17/A, Ashram Road, Ahmedabad, Gujarat, 380014, India","2.4 km to city centre
6.0 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs11,050","Very good 8.4
159 Hotels.com guest reviews",,Ahmedabad,12/02/2021,17/02/2021
9,Mangalbag Gallery and Residency,"Opp. World Business House, Near Parimal Garden, Ellis Bridge, Ahmedabad, 380006, India","1.3 km to city centre
8.5 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transfer,"Rs7,990",,,Ahmedabad,12/02/2021,17/02/2021
10,Mangalbag Gallery and Residency,"Opp. World Business House, Near Parimal Garden, Ellis Bridge, Ahmedabad, 380006, India","1.3 km to city centre
8.5 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transfer,"Rs7,990",,,Ahmedabad,12/02/2021,17/02/2021
11,The Cloud Hotel,"Near Khokhra Circle, Maninagar(E), Ahmedabad, Gujarat, 380008, India","5.2 km to city centre
7.6 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transferGymRestaurantInternet accessConnecting rooms available,"Rs6,658","Very good 8.0
2 Hotels.com guest reviews",,Ahmedabad,12/02/2021,17/02/2021
12,Ginger Sanand,"Plot No. 83 84 Survey no. 196/1 Mahalax, Village Iyava, Virmagam Highway, Sanand, Gujarat, 380210, India","27 km to city centre
32 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingGym,"Rs5,398",,,Ahmedabad,12/02/2021,17/02/2021
13,Hotel Riverfront,"Bhagatachyarya road, Opposite Museum, Nr. NID, Paldi, Ahmedabad, Gujarat, 380007, India","1.1 km to city centre
8.5 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Restaurant,"Rs2,800",,,Ahmedabad,12/02/2021,17/02/2021
14,Ramada by Wyndham Ahmedabad,"Corporate Road Opposite Prahla, Ahmedabad Polytechnic, Ahmedabad, Gujarat, 380015, India","6.7 km to city centre
14 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",GymRestaurant,"Rs6,543","Good 7.2
18 Hotels.com guest reviews",,Ahmedabad,12/02/2021,17/02/2021
