,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Hyatt Regency Chandigarh,"178 Industrial and Business Park, Phase I, Chandigarh, 160002, India","4.1 km to city centre
3.3 km to Chandigarh (IXC)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs21,675","Fabulous 8.6
190 Hotels.com guest reviews",,Chandigarh,12/02/2021,17/02/2021
1,Hotel SKA Hometel,"Shop No. 4, Nada Road, Near Committee Office & Water Tank, Chandigarh, Punjab, 160103, India","5.2 km to city centre
11 km to Chandigarh (IXC)",Free parking,"Rs1,600",,,Chandigarh,12/02/2021,17/02/2021
2,Hotel Almeida,"NH21, Chandigarh Amabala Highway, Chandigarh Ambala Highway, Zirakpur, Punjab, 140603, India","8.4 km to city centre
2.7 km to Chandigarh (IXC)",PoolFree parkingSpaRestaurantBar,"Rs7,560",,,Chandigarh,12/02/2021,17/02/2021
3,Hotel Almeida,"NH21, Chandigarh Amabala Highway, Chandigarh Ambala Highway, Zirakpur, Punjab, 140603, India","8.4 km to city centre
2.7 km to Chandigarh (IXC)",PoolFree parkingSpaRestaurantBar,"Rs7,560",,,Chandigarh,12/02/2021,17/02/2021
4,Hotel Midway,"Sco 2 near J.P. Hospital, Zirakpur, Punjab, 140603, India","8.9 km to city centre
3.1 km to Chandigarh (IXC)",Free parking,"Rs100,000",,,Chandigarh,12/02/2021,17/02/2021
5,4 By Oyo Zirakpur,"Ambala Chandigarh Expy, Zirakpur, PB, 140603, India","12 km to city centre
5.3 km to Chandigarh (IXC)",PoolFree parkingGym,"Rs9,457","Exceptional 10.0
3 Hotels.com guest reviews",,Chandigarh,12/02/2021,17/02/2021
6,4 By Oyo Zirakpur,"Ambala Chandigarh Expy, Zirakpur, PB, 140603, India","12 km to city centre
5.3 km to Chandigarh (IXC)",PoolFree parkingGym,"Rs9,457","Exceptional 10.0
3 Hotels.com guest reviews",,Chandigarh,12/02/2021,17/02/2021
7,OYO 28575 Hotel J&B,"Bhabat Road, Zirakpur, Zirakpur, Punjab, 140603, India","9.6 km to city centre
3.7 km to Chandigarh (IXC)",Free parkingBathtub,"Rs2,371",,,Chandigarh,12/02/2021,17/02/2021
8,Hotel South End chandigarh,"SCO - 499, 500, Himalaya Marg, 35C, Sector 35, Chandigarh, Chandigarh, 160036, India","2.0 km to city centre
5.7 km to Chandigarh (IXC)",Free parkingAirport transfer,"Rs3,200","2.0
1 Hotels.com guest review",,Chandigarh,12/02/2021,17/02/2021
9,Hotel Cama,"SCF - 13-18 Sector- 53 (Phase-3A), SAS Nagar, Chandigarh, Punjab, 160055, India","4.3 km to city centre
7.4 km to Chandigarh (IXC)",Free parkingAirport transferRestaurantBar,"Rs8,079","Good 7.2
5 Hotels.com guest reviews",,Chandigarh,12/02/2021,17/02/2021
10,Hotel Cama,"SCF - 13-18 Sector- 53 (Phase-3A), SAS Nagar, Chandigarh, Punjab, 160055, India","4.3 km to city centre
7.4 km to Chandigarh (IXC)",Free parkingAirport transferRestaurantBar,"Rs8,079","Good 7.2
5 Hotels.com guest reviews",,Chandigarh,12/02/2021,17/02/2021
11,OYO 37663 Hotel Royal Palace,"81-82,81-82, Attawa, Chandigarh, Chandigarh, 160032, India","2.2 km to city centre
6.7 km to Chandigarh (IXC)",Bathtub,"Rs18,878",,,Chandigarh,12/02/2021,17/02/2021
12,Capital O 10990 Hotel Alaska,"Zirakpur-Panchkula-Kalka Hwy, Opposite CST, Zirakpur, 140603, India","9.8 km to city centre
4.4 km to Chandigarh (IXC)",Free parking,"Rs3,464","Very good 8.0
1 Hotels.com guest review",,Chandigarh,12/02/2021,17/02/2021
13,Hotel Wisteria,"SCO 103, Near AKM Resort, Opposite Hynduai Showroom, Patiala Road, Zirakpur, Chandigarh, 140603, India","10 km to city centre
3.8 km to Chandigarh (IXC)",Free parking,"Rs2,400",,,Chandigarh,12/02/2021,17/02/2021
14,Holiday Inn Chandigarh Zirakpur,"RAKSHA BUSINESS CENTRE, AMBALA CHANDIGARH HIGHWAY, Zirakpur, CH, 140603, India","12 km to city centre
5.2 km to Chandigarh (IXC)",PoolFree parkingSpaRestaurantBar,"Rs9,250","Exceptional 10.0
1 Hotels.com guest review",,Chandigarh,12/02/2021,17/02/2021
15,OYO 39957 Royal Classic,"Vposohana Sasnagaer, Backside Of Sr Secondary Girl School, Kharar, Punjab, 140308, India","7.6 km to city centre
7.9 km to Chandigarh (IXC)",Free parkingBathtub,"Rs4,022",,,Chandigarh,12/02/2021,17/02/2021
16,OYO 41743 Hotel Silver,"125 Village Atawa Sector 42, Chandigarh, Chandigarh, 160036, India","2.2 km to city centre
6.6 km to Chandigarh (IXC)",Free parkingBathtub,"Rs2,448",,,Chandigarh,12/02/2021,17/02/2021
17,OYO 6933 Satyam Home Stay,"23 D Nr Shahid Udham Singh Gate, Old Sunny Enclave Kharar, Kharar, Chandigarh, 140301, India","10 km to city centre
14 km to Chandigarh (IXC)",Free parkingBathtub,"Rs2,878",,,Chandigarh,12/02/2021,17/02/2021
18,Hotel Royal Park 22,"SCO 1014-1015 Sector 22 B, opposite sector 17 Bus stand, Chandigarh, Punjab, 160022, India","0.1 km to city centre
6.5 km to Chandigarh (IXC)",Free parkingPet-friendlyAirport transferRestaurant,"Rs3,591","2.0
1 Hotels.com guest review",,Chandigarh,12/02/2021,17/02/2021
19,OYO 26606 Hotel R K Grand,"0 Sector 80 Sahibzada Ajit Singh Nagar, Kharar, Punjab, 160062, India","8.2 km to city centre
6.7 km to Chandigarh (IXC)",Bathtub,"Rs4,550",,,Chandigarh,12/02/2021,17/02/2021
20,OYO 10832 Hotel JB 2,"SCO 2-3, Near Hyundai Showroom, Patiala Road, Zirakpur, 140603, India","10 km to city centre
3.8 km to Chandigarh (IXC)",Free parkingBathtub,"Rs22,276",,,Chandigarh,12/02/2021,17/02/2021
21,OYO 10832 Hotel JB 2,"SCO 2-3, Near Hyundai Showroom, Patiala Road, Zirakpur, 140603, India","10 km to city centre
3.8 km to Chandigarh (IXC)",Free parkingBathtub,"Rs22,276",,,Chandigarh,12/02/2021,17/02/2021
22,OYO 9740 Hotel Him Sagar,"1590,Gugga Mari Mandir,Sec 45- B,Burail, Near Traffic Light Point Sec 45-46, Chandigarh, Chandigarh, 160045, India","3.2 km to city centre
4.1 km to Chandigarh (IXC)",Free parkingBathtub,"Rs3,767",,,Chandigarh,12/02/2021,17/02/2021
23,Hotel Grand Plaza,"Plot no. 65, Ekta Market Sector 42 B, Attawa, Chandigarh, Punjab, 160036, India","2.8 km to city centre
6.9 km to Chandigarh (IXC)",Free parkingPet-friendlyAirport transferInternet access,"Rs1,998","Exceptional 10.0
1 Hotels.com guest review",,Chandigarh,12/02/2021,17/02/2021
24,Hotel Surya Palace,"S.C.O. 95, Burail, Sector 45-A, Chandigarh, Punjab, 160045, India","2.8 km to city centre
4.7 km to Chandigarh (IXC)",Free parkingPet-friendlyAirport transfer,"Rs1,998",,,Chandigarh,12/02/2021,17/02/2021
