,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,"The Westin Gurgaon, New Delhi","Number 1, M.G. Road, Sector 29, Gurugram, Delhi N.C.R, 122002, India","4.7 km to city centre
8.9 km to Indira Gandhi International Airport (DEL)",PoolFree parkingSpaGymRestaurantBar,"Rs8,198","Fabulous 8.8
68 Hotels.com guest reviews",,Gurgaon,12/02/2021,17/02/2021
1,Dia Park Premier,"353-357 Sector-29, Gurugram, Delhi N.C.R, 122001, India","4.0 km to city centre
9.8 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs16,000","Fabulous 8.6
19 Hotels.com guest reviews",,Gurgaon,12/02/2021,17/02/2021
2,Taj City Centre Gurugram,"Plot No. 1 Sector 44, Near HUDA Metro, Gurugram, Delhi N.C.R, 122 004, India","4.4 km to city centre
11 km to Indira Gandhi International Airport (DEL)",PoolFree parkingPet-friendlySpaGymRestaurant,"Rs12,025","Superb 9.0
106 Hotels.com guest reviews",,Gurgaon,12/02/2021,17/02/2021
3,Taj City Centre Gurugram,"Plot No. 1 Sector 44, Near HUDA Metro, Gurugram, Delhi N.C.R, 122 004, India","4.4 km to city centre
11 km to Indira Gandhi International Airport (DEL)",PoolFree parkingPet-friendlySpaGymRestaurant,"Rs12,025","Superb 9.0
106 Hotels.com guest reviews",,Gurgaon,12/02/2021,17/02/2021
4,Holiday Inn Gurugram Sector 90,"Sapphire 90 Sector 90, Gurugram, Haryana, 122505, India","11 km to city centre
22 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferGymRestaurantBar,"Rs5,600","Superb 9.0
2 Hotels.com guest reviews",,Gurgaon,12/02/2021,17/02/2021
5,The Oberoi Gurgaon,"443 Udyog Vihar, Phase V, Gurugram, Delhi N.C.R, 122 016, India","7.8 km to city centre
5.8 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs17,000","Exceptional 9.6
101 Hotels.com guest reviews",,Gurgaon,12/02/2021,17/02/2021
6,The Oberoi Gurgaon,"443 Udyog Vihar, Phase V, Gurugram, Delhi N.C.R, 122 016, India","7.8 km to city centre
5.8 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs17,000","Exceptional 9.6
101 Hotels.com guest reviews",,Gurgaon,12/02/2021,17/02/2021
7,Vintage Villa,"House no 21,Near Radha Krishna Temple, Sector 31, Gurugram, Haryana, 122003, India","2.2 km to city centre
12 km to Indira Gandhi International Airport (DEL)",Free parkingBar,"Rs6,000",,,Gurgaon,12/02/2021,17/02/2021
8,Imperial Apartments,"F-48, South City-I, Near Huda City Metro Station, Gurugram, Haryana, 122001, India","4.2 km to city centre
11 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurantKitchenInternet access,"Rs5,000","5.0
2 Hotels.com guest reviews",,Gurgaon,12/02/2021,17/02/2021
9,Sparklin Suites,"B-204, Sushant Lok-1, Gurugram, 122002, India","5.1 km to city centre
10 km to Indira Gandhi International Airport (DEL)",Free parkingGym,"Rs4,398",,,Gurgaon,12/02/2021,17/02/2021
