,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Hotel Amit,"Near Kullu-Manali Airport, Sainik Chowk, Bhuntar, Kullu, Himachal Pradesh, 175125, India","25 km to city centre
21 km to Chalal Trek Trail",Free parkingPet-friendlyRestaurant,"Rs2,800",,,Kullu,12/02/2021,14/02/2021
1,Apple Valley Resort,"on national highway, village Mohal, Kullu, Himachal Pradesh, 175126, India","25 km to city centre
21 km to Chalal Trek Trail",PoolFree parkingAirport transferGymRestaurantBar,"Rs9,270",,,Kullu,12/02/2021,14/02/2021
2,Hotel Royal Palace,"Kasol Manikaran District, Kullu, Himachal Pradesh, 175002, India","6.3 km to city centre
0.4 km to Chalal Trek Trail",Free parkingRestaurant,"Rs8,000",,,Kullu,12/02/2021,14/02/2021
3,Hotel The Nest,"Kullu, Himachal Pradesh,, Near Main Bus Stand, Sarwari Bazar Kullu, Kullu, Himachal Pradesh, 175101, India","26 km to city centre
20 km to Chalal Trek Trail",Free parkingRestaurant,"Rs90,000",,,Kullu,12/02/2021,14/02/2021
4,Asaka Himalayan Inspiration lodge Kasol,"Village and post office kasol, Manikaran H P Kullu Himachal Pradesh, Kullu, Himachal Pradesh, 175105, India","6.9 km to city centre
0.5 km to Chalal Trek Trail",Free parking,"Rs9,900",,,Kullu,12/02/2021,14/02/2021
5,Asaka Himalayan Inspiration lodge Kasol,"Village and post office kasol, Manikaran H P Kullu Himachal Pradesh, Kullu, Himachal Pradesh, 175105, India","6.9 km to city centre
0.5 km to Chalal Trek Trail",Free parking,"Rs9,900",,,Kullu,12/02/2021,14/02/2021
6,Regenta Inn Blossoms Kullu Manali,"NH-3, Bandrol, Kullu, 171005, India","24 km to city centre
17 km to Chalal Trek Trail",Free parkingRestaurant,"Rs4,000",,,Kullu,12/02/2021,14/02/2021
7,Hotel Sun and Wind,"Manikaran Road,District Kullu, Kullu, HP, 175105, India","5.9 km to city centre
0.8 km to Chalal Trek Trail",Free parkingRestaurant,"Rs5,000",,,Kullu,12/02/2021,14/02/2021
8,OYO 19767 Hotel Naman,"Akhara Bazaar, Kullu, Himachal Pradesh, 175101, India","25 km to city centre
19 km to Chalal Trek Trail",Bathtub,"Rs18,878",,,Kullu,12/02/2021,14/02/2021
9,OYO 19767 Hotel Naman,"Akhara Bazaar, Kullu, Himachal Pradesh, 175101, India","25 km to city centre
19 km to Chalal Trek Trail",Bathtub,"Rs18,878",,,Kullu,12/02/2021,14/02/2021
