,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Taj Tirupati,"260 1B Tanapalli Road, Tirupati, AP, 517501, India","0.3 km to city centre
10 km to Venkateshvara Temple",PoolFree parkingAirport transferSpaGymRestaurant,"Rs13,200","Very good 8.2
13 Hotels.com guest reviews",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
1,Hotel Ramcharan Residency,"Door No 6-9-1258 MIG 14A Alipiri Road, A P Housing Board Colony, Tirupati, ANDHRA PRADESH, 517501, India","2.3 km to city centre
8.2 km to Venkateshvara Temple",Free parkingAirport transferRestaurant,"Rs4,400","Good 6.0
1 Hotels.com guest review",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
2,Minerva Grand,"Renigunta Road, Near Railway Flyover, NH 205, Ashok Nagar, Tirupati, Andhra Pradesh, 517501, India","1.0 km to city centre
11 km to Venkateshvara Temple",Free parkingAirport transferGymRestaurantBar,"Rs5,800","Good 7.0
30 Hotels.com guest reviews",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
3,Fortune Select Grand Ridge-Member ITC,"Shilparamam, Tiruchanoor Road, Tirupati, Andhra Pradesh, 517501, India","3.0 km to city centre
13 km to Venkateshvara Temple",PoolFree parkingAirport transferSpaGymRestaurant,"Rs8,500","Good 7.8
70 Hotels.com guest reviews",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
4,"Kences, Tirupati","opposite APSRTC bus terminal, Tirupati, Andhra Pradesh, 517501, India","0.7 km to city centre
11 km to Venkateshvara Temple",Free parkingRestaurantBar,"Rs6,998","Good 6.6
14 Hotels.com guest reviews",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
5,"Kences, Tirupati","opposite APSRTC bus terminal, Tirupati, Andhra Pradesh, 517501, India","0.7 km to city centre
11 km to Venkateshvara Temple",Free parkingRestaurantBar,"Rs6,998","Good 6.6
14 Hotels.com guest reviews",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
6,Iroomz Sri Srinivasa Residency,"#9-28/1, Opp Both Hospital, Maruthi Nagar, Tirupati, Andhra Pradesh, 517501, India","1.1 km to city centre
10 km to Venkateshvara Temple",Free parking,"Rs3,518",,,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
7,Jayaram Residency Tirupathi,"Tirupati, Andhra Pradesh, India","1.5 km to city centre
9.4 km to Venkateshvara Temple",Free parking,"Rs16,600",,,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
8,Best Western Tirupati,"Chennai-Anantapur High Way, Tirupati, Andhra Pradesh, 517501, India","1.9 km to city centre
12 km to Venkateshvara Temple",Free parkingGymRestaurantInternet access,"Rs5,948","Good 7.8
11 Hotels.com guest reviews",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
9,Best Western Tirupati,"Chennai-Anantapur High Way, Tirupati, Andhra Pradesh, 517501, India","1.9 km to city centre
12 km to Venkateshvara Temple",Free parkingGymRestaurantInternet access,"Rs5,948","Good 7.8
11 Hotels.com guest reviews",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
10,Raj Park Tirupati,"T.T.D By Pass Road Near Nandhi Circle, 18-1-5/4, NH 205, Ramchandra Nagar, Tirupati, Andhra Pradesh, 517501, India","2.5 km to city centre
8.5 km to Venkateshvara Temple",Free parkingAirport transferRestaurantConnecting rooms available,"Rs5,800","Good 6.0
3 Hotels.com guest reviews",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
11,Ramee Guestline Hotel TIRUPATI,"Plot 14/37, Karakambadi Road, Post Box No 9, Akkarampalli Post, Tirupati, Andhra Pradesh, 517 507, India","3.5 km to city centre
7.0 km to Venkateshvara Temple",PoolFree parkingAirport transferGymRestaurantInternet access,"Rs3,198","Good 6.8
11 Hotels.com guest reviews",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
12,NB Venkaeswara Grand Inn,"D.No. 13-06-600/44/157/G1, Street No.11, Opp. Srinivasam Complex, PK Layout, Tirupati, Andhrapradesh, 517501, India","0.8 km to city centre
10 km to Venkateshvara Temple",Free parking,"Rs3,680","Good 7.0
2 Hotels.com guest reviews",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
13,Marasa Sarovar Premiere,"Upadhyaya Nagar, Karakambadi Road, Tirupati, Andhra Pradesh, 517507, India","3.3 km to city centre
10 km to Venkateshvara Temple",PoolFree parkingAirport transferSpaGymRestaurant,"Rs9,270","Good 7.6
69 Hotels.com guest reviews",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
14,Hotel Bliss,"Near Ramanuja Circle,Renigunta Road, Tirupati, Andhra Pradesh, 517501, India","1.3 km to city centre
11 km to Venkateshvara Temple",PoolFree parkingGymRestaurantBar,"Rs5,800","Good 7.8
9 Hotels.com guest reviews",,"Tirupati, Andhra Pradesh, India",12/02/2021,17/02/2021
