,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Novotel Visakhapatnam Varun Beach Hotel,"Beach Road, Visakhapatnam, Andhra Pradesh, 530003, India","8.2 km to city centre
0.5 km to Rama Krishna Beach",PoolFree parkingAirport transferGymRestaurantBar,"Rs18,498","Very good 8.2
71 Hotels.com guest reviews",,"Visakhapatnam, Andhra Pradesh, India",12/02/2021,17/02/2021
1,Dolphin Hotel,"Dolphin Hotels Ltd, Dabagardens, Visakhapatnam, Andhra Pradesh, 530020, India","6.6 km to city centre
2.3 km to Rama Krishna Beach",PoolFree parkingAirport transferGymRestaurantBar,"Rs7,398","Fabulous 8.6
13 Hotels.com guest reviews",,"Visakhapatnam, Andhra Pradesh, India",12/02/2021,17/02/2021
2,WelcomHotel Devee Grand Bay - Member ITC’s hotel group,"Beach Road, Visakhapatnam, Andhra Pradesh, 530002, India","8.2 km to city centre
0.6 km to Rama Krishna Beach",PoolFree parkingRestaurantBarBathtubInternet access,"Rs10,080","Fabulous 8.8
13 Hotels.com guest reviews",,"Visakhapatnam, Andhra Pradesh, India",12/02/2021,17/02/2021
3,Ginger Vishakhapatnam Gajuwaka,"27-8-308/1/1, Sri Ram Nagar, Srinagar, Near Vadlapudi Railway station Gajuwaka, Visakhapatnam, Andhra Pradesh, 530046, India","6.5 km to city centre
15 km to Rama Krishna Beach",Free parkingGymRestaurant,"Rs6,396",,,"Visakhapatnam, Andhra Pradesh, India",12/02/2021,17/02/2021
4,HOTEL SUPREME,"Beach Road, Collector Office Down,, Near Naval Coastal Battery, Visakhapatnam, AP, 530002, India","7.8 km to city centre
1.0 km to Rama Krishna Beach",PoolFree parkingRestaurant,"Rs3,498",,,"Visakhapatnam, Andhra Pradesh, India",12/02/2021,17/02/2021
5,HOTEL SUPREME,"Beach Road, Collector Office Down,, Near Naval Coastal Battery, Visakhapatnam, AP, 530002, India","7.8 km to city centre
1.0 km to Rama Krishna Beach",PoolFree parkingRestaurant,"Rs3,498",,,"Visakhapatnam, Andhra Pradesh, India",12/02/2021,17/02/2021
6,The Bheemli Resort - Managed by AccorHotels,"Beach Road, Bhimunipatnam, Andhra Pradesh, 531163, India","31 km to city centre
24 km to Rama Krishna Beach",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs11,998","Fabulous 8.8
11 Hotels.com guest reviews",,"Visakhapatnam, Andhra Pradesh, India",12/02/2021,17/02/2021
7,Keys Select Visakhapatnam - By Lemon Tree Hotels,"75 Feet Road, Dabagardens, Visakhapatnam, Andhra Pradesh, 530020, India","6.3 km to city centre
2.4 km to Rama Krishna Beach",Free parkingAirport transferGymRestaurantBarInternet access,"Rs6,158","Very good 8.0
5 Hotels.com guest reviews",,"Visakhapatnam, Andhra Pradesh, India",12/02/2021,17/02/2021
8,Vizag Conventions,"10-10/1 NH 5 Beside Cricket Stadium, APHB Colony, Pothinamallayya Palem, Visakhapatnam, Andhra Pradesh, 530041, India","15 km to city centre
9.7 km to Rama Krishna Beach",Free parking,"Rs5,000","Superb 9.0
2 Hotels.com guest reviews",,"Visakhapatnam, Andhra Pradesh, India",12/02/2021,17/02/2021
9,Vizag Conventions,"10-10/1 NH 5 Beside Cricket Stadium, APHB Colony, Pothinamallayya Palem, Visakhapatnam, Andhra Pradesh, 530041, India","15 km to city centre
9.7 km to Rama Krishna Beach",Free parking,"Rs5,000","Superb 9.0
2 Hotels.com guest reviews",,"Visakhapatnam, Andhra Pradesh, India",12/02/2021,17/02/2021
10,Fairfield by Marriott Visakapatnam,"KSR Prime, R&B Junction, Visakhapatnam, Andhra Pradesh, 530018, India","4.7 km to city centre
8.9 km to Rama Krishna Beach",PoolFree parkingAirport transferSpaGymRestaurant,"Rs8,100","Very good 8.4
46 Hotels.com guest reviews",,"Visakhapatnam, Andhra Pradesh, India",12/02/2021,17/02/2021
11,Green Park Hotel,"Waltair Main Road, Visakhapatnam, Andhra Pradesh, 530002, India","7.2 km to city centre
1.6 km to Rama Krishna Beach",PoolFree parkingAirport transferGymRestaurantBar,"Rs6,000","Very good 8.2
9 Hotels.com guest reviews",,"Visakhapatnam, Andhra Pradesh, India",12/02/2021,17/02/2021
