,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Hyatt Regency Lucknow,"Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh, 226010, India","15 km to city centre
17 km to Lucknow (LKO-Amausi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs14,598","Fabulous 8.6
66 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
1,Renaissance Lucknow Hotel,"Vipin Khand, Gomti Nagar, Lucknow, 226010, India","11 km to city centre
13 km to Lucknow (LKO-Amausi Intl.)",PoolFree parkingAirport transferGymRestaurantBar,"Rs15,700","Superb 9.0
33 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
2,India Awadh,"4 Sapru Marg, Lucknow, Uttar Pradesh, 226001, India","8.9 km to city centre
12 km to Lucknow (LKO-Amausi Intl.)",Free parkingRestaurantBarKitchenInternet access,"Rs14,598","Very good 8.0
1 Hotels.com guest review",,Lucknow,12/02/2021,17/02/2021
3,India Awadh,"4 Sapru Marg, Lucknow, Uttar Pradesh, 226001, India","8.9 km to city centre
12 km to Lucknow (LKO-Amausi Intl.)",Free parkingRestaurantBarKitchenInternet access,"Rs14,598","Very good 8.0
1 Hotels.com guest review",,Lucknow,12/02/2021,17/02/2021
4,Hotel Nexus,"11 Gurudwara Rd, Lucknow, UP, 226004, India","5.9 km to city centre
9.0 km to Lucknow (LKO-Amausi Intl.)",Free parking,"Rs2,730","Superb 9.0
6 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
5,Ratana International,"Tedhi Pulia Ring Rd, Lucknow, UP, 226022, India","13 km to city centre
17 km to Lucknow (LKO-Amausi Intl.)",Free parkingPet-friendlyRestaurantMeeting Facilities,"Rs7,000",,,Lucknow,12/02/2021,17/02/2021
6,Ratana International,"Tedhi Pulia Ring Rd, Lucknow, UP, 226022, India","13 km to city centre
17 km to Lucknow (LKO-Amausi Intl.)",Free parkingPet-friendlyRestaurantMeeting Facilities,"Rs7,000",,,Lucknow,12/02/2021,17/02/2021
7,Levana Suites,"18, Madan Mohan Malviya Marg, Lucknow, 226001, India","9.8 km to city centre
13 km to Lucknow (LKO-Amausi Intl.)",Free parkingAirport transferRestaurantBar,"Rs18,898","Very good 8.0
6 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
8,Ramada by Wyndham Lucknow,"Kanpur Road, Lucknow, 226401, India","18 km to city centre
14 km to Lucknow (LKO-Amausi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs9,599","Fabulous 8.8
7 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
9,OYO 14767 Welcome Inn,"13 13 Ap Sen Rd Cash And Pay Clny, Lucknow, Uttar Pradesh, 226001, India","6.1 km to city centre
8.9 km to Lucknow (LKO-Amausi Intl.)",Bathtub,"Rs3,323",,,Lucknow,12/02/2021,17/02/2021
10,The Piccadily Lucknow,"Sector-B, LDA Colony, Kanpur Road, Lucknow, 226012, India","3.7 km to city centre
4.0 km to Lucknow (LKO-Amausi Intl.)",PoolFree parkingAirport transferGymRestaurantBar,"Rs25,288","Fabulous 8.6
13 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
11,Hotel Millenia Regency,"Plot No.30, Rehmanpur, Matiyari Chauraha, Chinhat, Faizabad Road, Gomti Nagar, Lucknow, Uttar Pradesh, 227105, India","19 km to city centre
20 km to Lucknow (LKO-Amausi Intl.)",PoolFree parkingAirport transferRestaurantInternet access,"Rs10,500",,,Lucknow,12/02/2021,17/02/2021
12,Hotel Millenia Regency,"Plot No.30, Rehmanpur, Matiyari Chauraha, Chinhat, Faizabad Road, Gomti Nagar, Lucknow, Uttar Pradesh, 227105, India","19 km to city centre
20 km to Lucknow (LKO-Amausi Intl.)",PoolFree parkingAirport transferRestaurantInternet access,"Rs10,500",,,Lucknow,12/02/2021,17/02/2021
13,Hyatt Regency Lucknow,"Vibhuti Khand, Gomti Nagar, Lucknow, Uttar Pradesh, 226010, India","15 km to city centre
17 km to Lucknow (LKO-Amausi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs14,598","Fabulous 8.6
66 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
14,Hotel Maple Delite,"Khasra No 1181, Opp Omaxe City Gate No 2, Amar Shaheed Path, Lucknow, Uttar Pradesh, 226025, India","8.6 km to city centre
3.8 km to Lucknow (LKO-Amausi Intl.)",Free parkingRestaurant,"Rs3,280",,,Lucknow,12/02/2021,17/02/2021
15,"La Place Sarovar Portico, Lucknow","6 Shahnajaf Road, Lucknow, Uttar Pradesh, 226001, India","8.7 km to city centre
12 km to Lucknow (LKO-Amausi Intl.)",Free parkingRestaurantBarMeeting Facilities,"Rs12,105","Fabulous 8.6
12 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
16,Comfort Hotel Elite,"KANPUR HARDOI BYPASS ROAD, PARA ROAD, Lucknow, UP, 226017, India","2.0 km to city centre
8.5 km to Lucknow (LKO-Amausi Intl.)",Free parkingGymRestaurant,"Rs5,760",,,Lucknow,12/02/2021,17/02/2021
17,Hotel Metro Continental,"3, 4, Munney Lal Dharamshala, Krishna Building, Charbagh, Lucknow, Uttar Pradesh, 226001, India","5.8 km to city centre
8.7 km to Lucknow (LKO-Amausi Intl.)",Free parkingRestaurant,"Rs3,396",,,Lucknow,12/02/2021,17/02/2021
18,Levana Hotel,"72, Mahatma Gandhi Marg, Near Tej Kumar Plaza, Lucknow, Uttar Pradesh, 226001, India","8.5 km to city centre
11 km to Lucknow (LKO-Amausi Intl.)",Free parkingAirport transferSpaGymRestaurantBar,"Rs19,998","5.2
5 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
19,JB Skyhilton Inn,"JB Emperor square, Bargawn, Lucknow, Uttar Pradesh, 226012, India","4.4 km to city centre
4.2 km to Lucknow (LKO-Amausi Intl.)",Free parkingRestaurantBar,"Rs11,000","Good 6.6
3 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
20,Hotel Ranbirs,"CP-125 Viraj Khand Rd, Viraj Khand, Gomti Rd, Opposite Sahara Hospital, Lucknow, Uttar Pradesh, 226010, India","16 km to city centre
17 km to Lucknow (LKO-Amausi Intl.)",Free parkingGymRestaurantBar,"Rs14,286","Very good 8.0
1 Hotels.com guest review",,Lucknow,12/02/2021,17/02/2021
21,Lemon Tree Hotel Lucknow,"Kanpur - Lucknow Road, Bag No 2 Saheed Path Chauraha, Lucknow, Uttar Pradesh, 226023, India","4.9 km to city centre
1.6 km to Lucknow (LKO-Amausi Intl.)",PoolFree parkingGymRestaurantBarBathtub,"Rs13,513","Good 7.0
4 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
22,Treebo Trend Shivam inn,"2/282 Virat Khand, Near Hanniman, Crossing, Gomti Nagar, Lucknow, 226010, India","16 km to city centre
17 km to Lucknow (LKO-Amausi Intl.)",Free parkingRestaurant,"Rs5,482","Exceptional 10.0
2 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
23,Treebo Trend Shivam inn,"2/282 Virat Khand, Near Hanniman, Crossing, Gomti Nagar, Lucknow, 226010, India","16 km to city centre
17 km to Lucknow (LKO-Amausi Intl.)",Free parkingRestaurant,"Rs5,482","Exceptional 10.0
2 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
24,Cygnett Park Di- Arch,"Transport Nagar Metro Station, Adjacent CCS Airport, Lucknow, 226012, India","4.9 km to city centre
1.6 km to Lucknow (LKO-Amausi Intl.)",Free parkingSpaGymRestaurant,"Rs7,200","Very good 8.0
3 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
25,Golden Tulip Lucknow,"6 Station Road, Lucknow, Uttar Pradesh, 226001, India","7.0 km to city centre
9.5 km to Lucknow (LKO-Amausi Intl.)",Free parkingAirport transferSpaGymRestaurantBar,"Rs17,199","Very good 8.0
25 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
26,Novotel Lucknow Gomti Nagar Hotel,"Viraj Khand, Gomti Nagar, Lucknow, Uttar Pradesh, 226010, India","16 km to city centre
17 km to Lucknow (LKO-Amausi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs14,298","Superb 9.0
25 Hotels.com guest reviews",,Lucknow,12/02/2021,17/02/2021
