,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,"ITC Sonar, a Luxury Collection Hotel, Kolkata","JBS Haldene Avenue, (Opp. Science City), Kolkata, West Bengal, 700046, India","4.7 km to city centre
4.9 km to New Market",PoolFree parkingSpaGymRestaurantBar,"Rs7,998",,,Kolkata,12/02/2021,14/02/2021
1,Novotel Kolkata Hotel & Residences Hotel,"CF11 Action Area 1C, New Town Rajarhat, Kolkata, West Bengal, 700156, India","10 km to city centre
11 km to New Market",Free parkingPet-friendlyAirport transferSpaGymRestaurant,"Rs6,080",,,Kolkata,12/02/2021,14/02/2021
2,"The Oberoi Grand, Kolkata","15 Jawaharlal Nehru Road, Kolkata, West Bengal, 700 013, India","1.4 km to city centre
0.2 km to New Market",PoolFree parkingAirport transferSpaGymRestaurant,"Rs14,000",Exceptional 9.6,,Kolkata,12/02/2021,14/02/2021
3,"The Oberoi Grand, Kolkata","15 Jawaharlal Nehru Road, Kolkata, West Bengal, 700 013, India","1.4 km to city centre
0.2 km to New Market",PoolFree parkingAirport transferSpaGymRestaurant,"Rs14,000",Exceptional 9.6,,Kolkata,12/02/2021,14/02/2021
4,The Water View Residency,"De - 103, Street No 305, New Town, Infront Of Bisarjan Ghat, Kolkata, WB, 700156, India","11 km to city centre
12 km to New Market",PoolFree parking,"Rs3,572",,,Kolkata,12/02/2021,14/02/2021
5,Fairfield by Marriott Kolkata,"CB 218 Action Area 1C New Town, Kolkata, West Bengal, 700156, India","11 km to city centre
12 km to New Market",PoolFree parkingAirport transferGymRestaurantConnecting rooms available,"Rs6,650",,,Kolkata,12/02/2021,14/02/2021
6,Fairfield by Marriott Kolkata,"CB 218 Action Area 1C New Town, Kolkata, West Bengal, 700156, India","11 km to city centre
12 km to New Market",PoolFree parkingAirport transferGymRestaurantConnecting rooms available,"Rs6,650",,,Kolkata,12/02/2021,14/02/2021
7,JW Marriott Hotel Kolkata,"4A, J.B.S. Haldane Avenue, Kolkata, West Bengal, 700105, India","4.7 km to city centre
5.0 km to New Market",PoolFree parkingSpaGymRestaurantBar,"Rs10,250",,,Kolkata,12/02/2021,14/02/2021
8,Fairfield by Marriott Kolkata,"CB 218 Action Area 1C New Town, Kolkata, West Bengal, 700156, India","11 km to city centre
12 km to New Market",PoolFree parkingAirport transferGymRestaurantConnecting rooms available,"Rs6,650",,,Kolkata,12/02/2021,14/02/2021
9,The Fern Residency Kolkata,"204, Main Arterial Road Noapara, Rajarhat, New Town Opp CityCentr II, Kolkata, 7000157, India","11 km to city centre
12 km to New Market",Free parkingAirport transferGymRestaurantMeeting Facilities,"Rs7,278",,,Kolkata,12/02/2021,14/02/2021
10,"ITC Sonar, a Luxury Collection Hotel, Kolkata","JBS Haldene Avenue, (Opp. Science City), Kolkata, West Bengal, 700046, India","4.7 km to city centre
4.9 km to New Market",PoolFree parkingSpaGymRestaurantBar,"Rs7,998",,,Kolkata,12/02/2021,14/02/2021
11,OYO 22232 Hotel Continental & Lodge,"22/1 Jessore Road No.2 Airport Gate, Kolkata, West Bengal, 700081, India","11 km to city centre
13 km to New Market",Bathtub,"Rs3,136",,,Kolkata,12/02/2021,14/02/2021
12,Vivanta Kolkata EM Bypass,"1930 Rajdanga Main Road, Kolkata, West Bengal, 700107, India","7.6 km to city centre
7.3 km to New Market",PoolFree parkingAirport transferGymRestaurantBar,"Rs6,700",,,Kolkata,12/02/2021,14/02/2021
13,Hotel Gardenia,"42/1B, Sarat Bose Road, Kolkata, West Bengal, 700029, India","5.9 km to city centre
4.8 km to New Market",Free parkingRestaurant,"Rs3,874",,,Kolkata,12/02/2021,14/02/2021
14,Hotel Gardenia,"42/1B, Sarat Bose Road, Kolkata, West Bengal, 700029, India","5.9 km to city centre
4.8 km to New Market",Free parkingRestaurant,"Rs3,874",,,Kolkata,12/02/2021,14/02/2021
15,Novotel Kolkata Hotel & Residences Hotel,"CF11 Action Area 1C, New Town Rajarhat, Kolkata, West Bengal, 700156, India","10 km to city centre
11 km to New Market",Free parkingPet-friendlyAirport transferSpaGymRestaurant,"Rs6,080",,,Kolkata,12/02/2021,14/02/2021
16,OYO 71148 Meera Guest House,"BF 83 Salt lake Sector - 1 Near, Swimming Pool ng Pool, Kolkata,, Kolkata, West Bengal, 700064, India","6.6 km to city centre
7.9 km to New Market",Kitchen,"Rs5,039",,,Kolkata,12/02/2021,14/02/2021
17,Taj Bengal,"34 B Belvedere Road Alipore, Kolkata, West Bengal, 700 027, India","4.6 km to city centre
3.3 km to New Market",PoolFree parkingAirport transferSpaGymRestaurant,"Rs13,000",,,Kolkata,12/02/2021,14/02/2021
18,Celesta Kolkata,"RAA 43/2, VIP Road (Raghunathpur North), Kolkata, West Bengal, 700059, India","8.6 km to city centre
9.9 km to New Market",Free parkingAirport transferRestaurantBarMeeting Facilities,"Rs3,967",,,Kolkata,12/02/2021,14/02/2021
19,Capital O 50001 Krish Residency,"AB 12 Street 91 Action Area I New Town, Kolkata, West Bengal, 700156, India","9.8 km to city centre
11 km to New Market",Free parking,"Rs6,676",,,Kolkata,12/02/2021,14/02/2021
20,"ITC Royal Bengal, a Luxury Collection Hotel, Kolkata","1 JBS Haldane Avenue, Kolkata, West Bengal, 700046, India","4.6 km to city centre
4.9 km to New Market",PoolFree parkingAirport transferSpaGymRestaurant,"Rs14,200",,,Kolkata,12/02/2021,14/02/2021
21,LBD Resorts & Hotels,"31/1, N.C. Chowdhury Road, Kasba, Kolkata, West Bengal, 700042, India","6.3 km to city centre
5.7 km to New Market",PoolFree parkingRestaurant,"Rs7,200",,,Kolkata,12/02/2021,14/02/2021
22,OYO 49454 Alankar Guesthouse,"Alankar Guesthouse Street Number 634, Action Area II Newton New Town ction Are, Kolkata, West Bengal, 700135, India","12 km to city centre
14 km to New Market",Free parkingKitchen,"Rs6,198",,,Kolkata,12/02/2021,14/02/2021
23,OYO 63219 Amtala Guest House,"0 Amtala bazar Diamond Harbour road, south 24 parganas outh 24 parganas, West, Kolkata, West Bengal, 743503, India","24 km to city centre
23 km to New Market",Free parking,"Rs7,546",,,Kolkata,12/02/2021,14/02/2021
24,The Inn,"192/1, Rajdanga Nabapally, Opposite - Acropolis Mall Main Gate, Kolkata, West Bengal, 700107, India","7.3 km to city centre
6.9 km to New Market",,"Rs5,400",,,Kolkata,12/02/2021,14/02/2021
25,Hotel Gulshan International,"21B, Royd Street, Mirja Galib Street, Kolkata, West Bengal, 700016, India","2.0 km to city centre
0.9 km to New Market",Free parkingRestaurantBar,"Rs3,200",,,Kolkata,12/02/2021,14/02/2021
26,Hotel Gulshan International,"21B, Royd Street, Mirja Galib Street, Kolkata, West Bengal, 700016, India","2.0 km to city centre
0.9 km to New Market",Free parkingRestaurantBar,"Rs3,200",,,Kolkata,12/02/2021,14/02/2021
27,SPOT ON 49450 Silver Woods,"Chakundi, Opp To Star Battery Bus Stop, Dankuni, Shrirampur, West Bengal, 712310, India","17 km to city centre
17 km to New Market",Free parkingBathtub,"Rs3,022",,,Kolkata,12/02/2021,14/02/2021
28,LYNQ AERO,"DN 5 Block , Sector V, Bidhannagar, Kolkata, WB, 700091, India","7.5 km to city centre
8.5 km to New Market",Free parkingRestaurantBar,"Rs6,999",,,Kolkata,12/02/2021,14/02/2021
29,Hotel Coco Inn,"168A, Raipur Rd E, Bijoygarh, Sree Colony, Regent Estate, Kolkata, West Bengal, 700092, India","9.3 km to city centre
8.4 km to New Market",Parking availableRestaurantMeeting Facilities,"Rs3,600",,,Kolkata,12/02/2021,14/02/2021
30,OYO 41435 Golden Residency,"174B Rash Behari Avenue opposite City, Style Style, Kolkata,, Kolkata, West Bengal, 700029, India","5.7 km to city centre
4.7 km to New Market",,"Rs10,215",,,Kolkata,12/02/2021,14/02/2021
31,The Elgin Fairlawn Kolkata,"13/A Sudder St, Kolkata, west bengal, 700016, India","1.5 km to city centre
0.2 km to New Market",Free parkingRestaurant,"Rs8,000",,,Kolkata,12/02/2021,14/02/2021
32,OYO 49183 Meera Guest House,"0 AC 90 AC Block Sector 1 Bidhannagar, Kolkata, West Bengal, 700064, India","5.2 km to city centre
6.5 km to New Market",,"Rs10,259",,,Kolkata,12/02/2021,14/02/2021
33,OYO 37683 Second Home,"347 BJ Block Sector II BJ347, Kolkata, West Bengal, 700091, India","7.2 km to city centre
8.4 km to New Market",Free parking,"Rs10,259",,,Kolkata,12/02/2021,14/02/2021
34,The Residency,"50 Purna Das Rd, Kolkata, WB, 700029, India","5.8 km to city centre
4.8 km to New Market",Free parking,"Rs6,668",,,Kolkata,12/02/2021,14/02/2021
35,Treebo Trend Green View,"25/2/1A Darga Road, Park Circus, Kolkata, West Bengal, 700017, India","3.1 km to city centre
2.7 km to New Market",,"Rs4,122",,,Kolkata,12/02/2021,14/02/2021
36,OYO 24653 Novus Guest House,"3A Ripon Street Taltala, Kolkata, West Bengal, 700016, India","1.9 km to city centre
0.8 km to New Market",,"Rs7,816",,,Kolkata,12/02/2021,14/02/2021
37,OYO 24653 Novus Guest House,"3A Ripon Street Taltala, Kolkata, West Bengal, 700016, India","1.9 km to city centre
0.8 km to New Market",,"Rs7,816",,,Kolkata,12/02/2021,14/02/2021
38,Hotel Royale,"No. 2 Airport Gate, Old Gurdwara Complex, Kolkata, West Bengal, 700081, India","11 km to city centre
13 km to New Market",Free parking,"Rs2,970",,,Kolkata,12/02/2021,14/02/2021
39,Altair,"Eco Centre Ambuja Neotia, 19th-21 Floor, 4 EM, EM Block, Salt Lake Sector-V, Kolkata, West bengal, 700091, India","6.9 km to city centre
7.9 km to New Market",PoolFree parkingAirport transferSpaGymRestaurant,"Rs9,200",,,Kolkata,12/02/2021,14/02/2021
40,Hyatt Regency Kolkata,"JA 1, Sector 3, Kolkata, West Bengal, 700098, India","4.5 km to city centre
5.5 km to New Market",PoolFree parkingAirport transferSpaGymRestaurant,"Rs9,010",,,Kolkata,12/02/2021,14/02/2021
41,OYO Rooms 044 Salt Lake Sector 3,"FE-137 Bidhan Nagar Sector 3 Salt Lake, Kolkata, West Bengal, 700106, India","5.9 km to city centre
7.0 km to New Market",Kitchen,"Rs18,878",,,Kolkata,12/02/2021,14/02/2021
42,Shila International,"233/3, AJC Bose Road, Kolkata, West Bengal, 700020, India","3.2 km to city centre
2.1 km to New Market",Free parkingBar,"Rs3,214",,,Kolkata,12/02/2021,14/02/2021
43,OYO Townhouse 120 The Axis,"CE/1/C/202 Street Number 196 CE/1/C/202, Barage Abasan Co Operative Housing CE Bl, Kolkata, West Bengal, 700156, India","10 km to city centre
11 km to New Market",Free parking,"Rs18,540",,,Kolkata,12/02/2021,14/02/2021
44,OYO 30742 Amita Guest House,"HA-29 HA-29 HA Block Sector III Salt, Lake City Lake City, Kolkata, West Benga, Kolkata, West Bengal, 700106, India","5.2 km to city centre
6.2 km to New Market",,"Rs18,878",,,Kolkata,12/02/2021,14/02/2021
45,The Park Kolkata,"17 Park Street, Kolkata, West Bengal, 700016, India","2.0 km to city centre
0.7 km to New Market",PoolFree parkingAirport transferSpaBarBathtub,"Rs10,000",,,Kolkata,12/02/2021,14/02/2021
46,Simi International - The Imperial,"CF-400, Sector - I, Salt Lake, Near Salt Lake Swimming Pool, Kolkata, West Bengal, 700064, India","6.4 km to city centre
7.7 km to New Market",Restaurant,"Rs8,200",,,Kolkata,12/02/2021,14/02/2021
47,FabHotel NS International,"14, Rafi Ahmed Kidwai Rd, Near Moulana, Azad College, Janbazar, Taltala, Kolkata, 700013, India","1.2 km to city centre
0.5 km to New Market",Free parking,"Rs6,491",,,Kolkata,12/02/2021,14/02/2021
48,FabHotel NS International,"14, Rafi Ahmed Kidwai Rd, Near Moulana, Azad College, Janbazar, Taltala, Kolkata, 700013, India","1.2 km to city centre
0.5 km to New Market",Free parking,"Rs6,491",,,Kolkata,12/02/2021,14/02/2021
49,Tatvam Residency,"171/1/M Picnic Garden Road, Off E.M. Bypass, Kolkata, West Bengal, 700039, India","6.0 km to city centre
5.8 km to New Market",PoolFree parkingInternet accessConnecting rooms availableMeeting Facilities,"Rs5,298",,,Kolkata,12/02/2021,14/02/2021
50,Hotel Crest Inn,"36,Dr Biresh Guha St, Park Circus, Ballygunge, Kolkata, West Bengal, 700017, India","3.7 km to city centre
3.2 km to New Market",Free parkingRestaurant,"Rs4,138",,,Kolkata,12/02/2021,14/02/2021
51,Hotel O2 VIP,"VIP Road, Kaikhali, Kolkata, West Bengal, 700052, India","10 km to city centre
12 km to New Market",Airport transferRestaurantBar,"Rs7,398",,,Kolkata,12/02/2021,14/02/2021
52,OYO 28600 Supal,"CJ 193 CJ Block Sector II Salt Lake City, Kolkata, West Bengal, 700091, India","7.0 km to city centre
8.1 km to New Market",Free parkingKitchen,"Rs18,878",,,Kolkata,12/02/2021,14/02/2021
53,OYO 16310 Balaji Inn Ballygunge,"0 29/1A Ballygunge Place, Kolkata, West Bengal, 700019, India","4.7 km to city centre
3.9 km to New Market",Free parking,"Rs18,878",,,Kolkata,12/02/2021,14/02/2021
54,Hotel Rushabh Home,"6A, Middleton Street, Kolkata, West Bengal, 700071, India","2.5 km to city centre
1.3 km to New Market",Airport transfer,"Rs3,800",,,Kolkata,12/02/2021,14/02/2021
55,Howard Johnson by Wyndham Kolkata,"Beside Spencers Mall, New Town Square, Chinar Park, Kolkata, West Bengal, 700136, India","10 km to city centre
12 km to New Market",Free parkingAirport transferGymRestaurantConnecting rooms availableMeeting Facilities,"Rs6,163",,,Kolkata,12/02/2021,14/02/2021
56,OYO 16703 Hotel The Platinum,"BA-169 1st Ave, BA Block, Kolkata, West Bengal, 700064, India","4.5 km to city centre
5.8 km to New Market",Bathtub,"Rs4,623",,,Kolkata,12/02/2021,14/02/2021
57,Aster Guest House,"16 B Shakespeare Sarani 2nd Floor, B. K. Market, Opposite Astor Hotel, Kolkata, West Bengal, 700071, India","2.9 km to city centre
1.7 km to New Market",Free parkingRestaurant,"Rs4,398",,,Kolkata,12/02/2021,14/02/2021
58,Vedic Village Spa Resort,"Shikharpur, P.O - Bagu - Rajarhat, Kolkata, West Bengal, 700135, India","18 km to city centre
19 km to New Market",PoolFree parkingAirport transferSpaGymRestaurant,"Rs22,185",,,Kolkata,12/02/2021,14/02/2021
59,Vedic Village Spa Resort,"Shikharpur, P.O - Bagu - Rajarhat, Kolkata, West Bengal, 700135, India","18 km to city centre
19 km to New Market",PoolFree parkingAirport transferSpaGymRestaurant,"Rs22,185",,,Kolkata,12/02/2021,14/02/2021
60,ibis Kolkata Rajarhat Hotel,"Action Area 1, New Town, Kolkata, West Bengal, 700156, India","10 km to city centre
11 km to New Market",Free parkingAirport transferGymRestaurantBarConnecting rooms available,"Rs4,600",,,Kolkata,12/02/2021,14/02/2021
61,OYO 16058 Classic Inn,"Sodepur Madhyamgram Rd, Kalyani Exp Highway Four Point Ps Ghola, Kolkata, 700124, India","15 km to city centre
17 km to New Market",Bathtub,"Rs4,956",,,Kolkata,12/02/2021,14/02/2021
62,Golden Tulip Salt Lake City Kolkata,"DD 19 Sector-1, Salt Lake City, Kolkata, 700064, India","5.6 km to city centre
6.8 km to New Market",Free parkingAirport transferGymRestaurantBarInternet access,"Rs11,700",,,Kolkata,12/02/2021,14/02/2021
63,OYO 35873 Durbar Guest House,"1203 15Th A Main Road Hsr Club Road, Sector 3 Hsr Layout, Kolkata, 700136, India","12 km to city centre
13 km to New Market",Bathtub,"Rs3,033",,,Kolkata,12/02/2021,14/02/2021
64,Hotel Park Victoria,"55B Mirza Ghalib St, Kolkata, WB, 700016, India","1.9 km to city centre
0.7 km to New Market",Parking available,"Rs2,998",,,Kolkata,12/02/2021,14/02/2021
65,Hotel Heera,"28 Grant St, Kolkata, WB, 700013, India","1.0 km to city centre
0.3 km to New Market",Free parking,"Rs5,412",,,Kolkata,12/02/2021,14/02/2021
66,The Sonnet,"Block: DD. Plot No :08, Sector-01, Salt Lake, Kolkata, West Bengal, 700064, India","5.7 km to city centre
6.9 km to New Market",PoolFree parkingAirport transferGymRestaurantBar,"Rs8,738",,,Kolkata,12/02/2021,14/02/2021
67,Dee Empresa,"12/2A, Dr. Md. Ishaque Rd, Park Street, Kolkata, West Bengal, 700016, India","1.7 km to city centre
0.5 km to New Market",,"Rs10,000",,,Kolkata,12/02/2021,14/02/2021
68,OYO 16209 Hotel Ambar Palace,"5610/11,Nicholson Road, Kolkata, West Bengal, 700013, India","0.9 km to city centre
0.4 km to New Market",Bathtub,"Rs5,497",,,Kolkata,12/02/2021,14/02/2021
69,Marble Palace Guest House,"49 Lake Pl. Rd., Near Menoka Cinema Hall, Lake Market, Kalighat, Kolkata, West Bengal, 700029, India","6.4 km to city centre
5.2 km to New Market",Free parking,"Rs100,000",,,Kolkata,12/02/2021,14/02/2021
70,Marble Palace Guest House,"49 Lake Pl. Rd., Near Menoka Cinema Hall, Lake Market, Kalighat, Kolkata, West Bengal, 700029, India","6.4 km to city centre
5.2 km to New Market",Free parking,"Rs100,000",,,Kolkata,12/02/2021,14/02/2021
71,OYO 15966 Hotel Shivam,"P-19, Dobson lane, Gulmohar Railway Quarters, Howrah, West Bengal, 711101, India","2.9 km to city centre
3.3 km to New Market",,"Rs7,816",,,Kolkata,12/02/2021,14/02/2021
