,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Courtyard by Marriott Mumbai International Airport,"CTS 215, Andheri Kurla Road, Andheri-East, Mumbai, Maharashtra, 400 059, India","20 km to city centre
1.9 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs7,000",,,Mumbai,12/02/2021,14/02/2021
1,Sofitel Mumbai BKC Hotel,"C-57, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra, 400051, India","16 km to city centre
3.6 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs10,000",Superb 9.0,,Mumbai,12/02/2021,14/02/2021
2,Courtyard by Marriott Mumbai International Airport,"CTS 215, Andheri Kurla Road, Andheri-East, Mumbai, Maharashtra, 400 059, India","20 km to city centre
1.9 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs7,000",,,Mumbai,12/02/2021,14/02/2021
3,Courtyard by Marriott Mumbai International Airport,"CTS 215, Andheri Kurla Road, Andheri-East, Mumbai, Maharashtra, 400 059, India","20 km to city centre
1.9 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs7,000",,,Mumbai,12/02/2021,14/02/2021
4,Treebo Trend Olive Nest,"Nirlok Est., Opp. Bombay Talkies Cmpnd, Harun Khan Road, Mumbai, Maharashtra, 400064, India","28 km to city centre
9.8 km to Chhatrapati Shivaji International Airport (BOM)",Free parkingRestaurant,"Rs4,700",,,Mumbai,12/02/2021,14/02/2021
5,The Orchid- Ecotel Mumbai Airport,"Nehru Road, Vile Parle East, Adjacent to Domestic Airport, Mumbai, Maharashtra, 400 099, India","19 km to city centre
2.1 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,198",Good 7.8,,Mumbai,12/02/2021,14/02/2021
6,The Orchid- Ecotel Mumbai Airport,"Nehru Road, Vile Parle East, Adjacent to Domestic Airport, Mumbai, Maharashtra, 400 099, India","19 km to city centre
2.1 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,198",Good 7.8,,Mumbai,12/02/2021,14/02/2021
7,JW Marriott Mumbai Sahar,"IA Project Road, Chhatrapati Shivaji Intl Airport, Mumbai, Maharashtra, 400099, India","20 km to city centre
0.5 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs9,700",,,Mumbai,12/02/2021,14/02/2021
8,The St. Regis Mumbai,"462 Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra, 400013, India","6.8 km to city centre
13 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingSpaGymRestaurantBar,"Rs15,000",Superb 9.2,,Mumbai,12/02/2021,14/02/2021
9,The St. Regis Mumbai,"462 Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra, 400013, India","6.8 km to city centre
13 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingSpaGymRestaurantBar,"Rs15,000",Superb 9.2,,Mumbai,12/02/2021,14/02/2021
