,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,"Le Méridien Goa, Calangute","Aguada Siolim Road, Calangute, Goa, 403515, India","3.1 km to Baga Beach
1.5 km to Calangute Beach",PoolFree parkingAirport transferGymRestaurantBar,"Rs25,594",,,Goa,12/02/2021,14/02/2021
1,Coastal Suites Apart-Hotel,"Sernabatim Benaulim Road, Colva, Benaulim, Goa, 403708, India","38 km to Baga Beach
36 km to Calangute Beach",PoolFree parking,"Rs4,514",,,Goa,12/02/2021,14/02/2021
2,Baywatch Resort,"Sernabatim, Colva, Goa, 403708, India","37 km to Baga Beach
35 km to Calangute Beach",PoolFree parkingSpaGymRestaurantBar,"Rs11,198",,,Goa,12/02/2021,14/02/2021
3,Patnem Palolem Beach Park Appt,"59/20, Patnem Palolem Beach Road, Near The Tubki Resort, Canacona, Goa, 403702, India","69 km to Baga Beach
68 km to Calangute Beach",PoolFree parkingAirport transferGymRestaurantKitchen,"Rs6,000",,,Goa,12/02/2021,14/02/2021
4,Star of the Sea Resort,"Off Benaulim beach road, Vasvaddo, Salcette, Benaulim, Goa, 403716, India","38 km to Baga Beach
36 km to Calangute Beach",PoolFree parkingAirport transferRestaurantBar,"Rs4,000",,,Goa,12/02/2021,14/02/2021
5,Star of the Sea Resort,"Off Benaulim beach road, Vasvaddo, Salcette, Benaulim, Goa, 403716, India","38 km to Baga Beach
36 km to Calangute Beach",PoolFree parkingAirport transferRestaurantBar,"Rs4,000",,,Goa,12/02/2021,14/02/2021
6,"Alila Diwa Goa, India","48 10 Adao Waddo, Majorda, Goa, 403713, India","33 km to Baga Beach
31 km to Calangute Beach",PoolFree parkingAirport transferSpaGymRestaurant,"Rs34,000",,,Goa,12/02/2021,14/02/2021
7,OYO 11950 Relax Holiday Home,"355/1, Aquem Madgaon Road Madgaon Fire Station, Margao, Goa, 403601, India","40 km to Baga Beach
38 km to Calangute Beach",Free parkingBathtub,"Rs5,085",,,Goa,12/02/2021,14/02/2021
8,The Leela Goa,"Mobor Cavelossim, Cavelossim, Goa, 403 731, India","49 km to Baga Beach
48 km to Calangute Beach",PoolFree parkingSpaGymRestaurantBar,"Rs40,000",Exceptional 9.6,,Goa,12/02/2021,14/02/2021
9,"Taj Exotica Resort & Spa, Goa","Calwaddo Benaulim, Benaulim, Goa, 403716, India","39 km to Baga Beach
38 km to Calangute Beach",PoolFree parkingPet-friendlySpaGymRestaurant,"Rs45,000",,,Goa,12/02/2021,14/02/2021
10,"Taj Exotica Resort & Spa, Goa","Calwaddo Benaulim, Benaulim, Goa, 403716, India","39 km to Baga Beach
38 km to Calangute Beach",PoolFree parkingPet-friendlySpaGymRestaurant,"Rs45,000",,,Goa,12/02/2021,14/02/2021
11,Sobit Sarovar Portico,"Conacona - Char Rasta, Palolem, Nagarcem, Canacona, Goa, 403702, India","68 km to Baga Beach
66 km to Calangute Beach",PoolFree parkingSpaGymRestaurantBar,"Rs21,500",,,Goa,12/02/2021,14/02/2021
12,Rio Maharaja Hotels Goa,"Opposite to Hindustan Petroleum, Vasco da Gama, Goa, 403802, India","19 km to Baga Beach
17 km to Calangute Beach",Free parking,"Rs3,998",,,Goa,12/02/2021,14/02/2021
13,Planet Hollywood Goa Beach Resort,"30/3, Acsona Waddo, Uttorda Beach, Salcete, Uttorda, Goa, 403713, India","31 km to Baga Beach
30 km to Calangute Beach",PoolFree parkingPet-friendlyAirport transferRestaurantBar,"Rs31,000",Very good 8.4,,Goa,12/02/2021,14/02/2021
14,GOA WOODLANDS HOTEL,"MIGUEL LOYOLA FURTADO ROAD OPP., CITY BUS STAND, MADGAON, Margao, 403601, India","38 km to Baga Beach
37 km to Calangute Beach",RestaurantBar,"Rs4,000",,,Goa,12/02/2021,14/02/2021
15,GINGER Goa Madgaon,"GINGER Goa, Madgaon Opposite Madgaon, Junction Railway Station, Aquem, Margao, Margao, GA, 403601, India","40 km to Baga Beach
38 km to Calangute Beach",Free parkingAirport transferGymRestaurant,"Rs7,998",,,Goa,12/02/2021,14/02/2021
16,Mercure Goa Devaaya Retreat,"Devaaya Ayurveda Spa Resort Di, Divar Island, Goa, 403403, India","17 km to Baga Beach
16 km to Calangute Beach",PoolFree parkingAirport transferGymRestaurantBar,"Rs10,400",,,Goa,12/02/2021,14/02/2021
17,Mariaariose - Melody Of The Sea,"1/6B, Gallint, Opposite 1st Navy gate, Alto Dabolim, Marmagao, Goa, 403801, India","22 km to Baga Beach
21 km to Calangute Beach",Free parkingAirport transferRestaurantBarConnecting rooms available,"Rs3,744",,,Goa,12/02/2021,14/02/2021
18,Hyatt Centric Candolim Goa,"Anna Waddo Main Candolim Road, Candolim, Goa, 403515, India","3.4 km to Baga Beach
1.8 km to Calangute Beach",PoolFree parkingGymRestaurantBarConnecting rooms available,"Rs21,600",,,Goa,12/02/2021,14/02/2021
19,Kiara Hotel Goa,"301-1/S Deoul Waddo, Vagator Beach Road, Near Junction, Vagator, Goa, 403509, India","4.6 km to Baga Beach
6.2 km to Calangute Beach",Free parkingPet-friendlyAirport transferSpaBarInternet access,"Rs2,400",,,Goa,12/02/2021,14/02/2021
20,Amigo Plaza,"4th ward, Colva Beach, Colva, Goa, 403708, India","36 km to Baga Beach
34 km to Calangute Beach",PoolFree parking,"Rs4,000",,,Goa,12/02/2021,14/02/2021
21,Amigo Plaza,"4th ward, Colva Beach, Colva, Goa, 403708, India","36 km to Baga Beach
34 km to Calangute Beach",PoolFree parking,"Rs4,000",,,Goa,12/02/2021,14/02/2021
22,Park Regis Goa,"Saqwadi, Arpora, Goa, 403516, India","2.1 km to Baga Beach
3.5 km to Calangute Beach",PoolFree parkingGymRestaurantBarInternet access,"Rs31,500",,,Goa,12/02/2021,14/02/2021
23,Nanutel Margao,"Padre Miranda Road, Margao, Goa, 403601, India","38 km to Baga Beach
37 km to Calangute Beach",PoolFree parkingAirport transferRestaurantBarInternet access,"Rs6,968",,,Goa,12/02/2021,14/02/2021
24,Hotel Ocean Touch,"H.No. 468/2,4th Ward, Next to Soul Vacation, Colva, Goa, 403708, India","36 km to Baga Beach
34 km to Calangute Beach",Free parkingRestaurantBar,"Rs5,200",,,Goa,12/02/2021,14/02/2021
25,Ala Goa Resort,"No. 82, B, Ranvaddo, Betalbatim, Goa, 403713, India","34 km to Baga Beach
32 km to Calangute Beach",PoolFree parkingAirport transferRestaurantBarBathtub,"Rs4,300",,,Goa,12/02/2021,14/02/2021
26,Devasthali - The Valley of Gods,"Village Issorcim, Hollant Beach, Dabolim, Marmagao, Goa, 403712, India","23 km to Baga Beach
22 km to Calangute Beach",PoolFree parkingRestaurantBarBathtubConnecting rooms available,"Rs5,998",,,Goa,12/02/2021,14/02/2021
