,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Hotel Tilak,"R 85 Obedulla Ganj Rd, Bhopal, MP, 462011, India","3.4 km to city centre
0.7 km to Habibganj Railway Station",Free parkingRestaurant,"Rs4,300",,,Bhopal,12/02/2021,17/02/2021
1,Hotel 18 Keys,"Plot No-20, ISBT Commercial Campus, Hoshangabad Road, Bhopal, Madhya Pradesh, 462023, India","4.0 km to city centre
1.1 km to Habibganj Railway Station",Free parkingRestaurant,"Rs6,258","Good 6.0
1 Hotels.com guest review",,Bhopal,12/02/2021,17/02/2021
2,Hotel Pathik,"Adjoining sangam cineplex hamdia road, Main, Railway Station Rd, Bhopal, Madhya Pradesh, 462001, India","2.9 km to city centre
5.4 km to Habibganj Railway Station",Free parking,"Rs20,000",,,Bhopal,12/02/2021,17/02/2021
3,Hotel Amer Greens,"Hotel Amer Greens,Hoshangabad Road, Near Gyan Ganga School, Bhopal, Madhya Pradesh, 462026, India","14 km to city centre
11 km to Habibganj Railway Station",Free parkingMeeting Facilities,"Rs40,000",,,Bhopal,12/02/2021,17/02/2021
4,Noor-Us-Sabah Palace,"VIP Road, Koh-E-Fiza, Bhopal, Madhya Pradesh, 462001, India","5.2 km to city centre
8.9 km to Habibganj Railway Station",PoolFree parkingSpaGymRestaurantMeeting Facilities,"Rs40,000","Superb 9.0
13 Hotels.com guest reviews",,Bhopal,12/02/2021,17/02/2021
5,Noor-Us-Sabah Palace,"VIP Road, Koh-E-Fiza, Bhopal, Madhya Pradesh, 462001, India","5.2 km to city centre
8.9 km to Habibganj Railway Station",PoolFree parkingSpaGymRestaurantMeeting Facilities,"Rs40,000","Superb 9.0
13 Hotels.com guest reviews",,Bhopal,12/02/2021,17/02/2021
6,Park Hotel,"Park hotel , Rang Mahal Tower,, rangmahal cinema TT Nagar, Bhopal, 462003, India","0.7 km to city centre
4.4 km to Habibganj Railway Station",Free parking,"Rs2,598",,,Bhopal,12/02/2021,17/02/2021
7,Hotel Vigya Shree,"Hig 20 Shivaji Nagar, Behind Hotel Motel Shiraz, Bhopal, Madhya Pradesh, 462001, India","2.7 km to city centre
1.2 km to Habibganj Railway Station",Free parkingBathtubMeeting Facilities,"Rs4,800",,,Bhopal,12/02/2021,17/02/2021
8,Hotel Smart Room By Shree Vatika,"1, Soma Vihar Colony, behind Sun Villas, Chuna Bhatti, Bhopal, 462016, India","4.4 km to city centre
3.7 km to Habibganj Railway Station",Free parking,"Rs5,118",,,Bhopal,12/02/2021,17/02/2021
9,Hotel Smart Room By Shree Vatika,"1, Soma Vihar Colony, behind Sun Villas, Chuna Bhatti, Bhopal, 462016, India","4.4 km to city centre
3.7 km to Habibganj Railway Station",Free parking,"Rs5,118",,,Bhopal,12/02/2021,17/02/2021
10,Hotel Sudarshan Palace,"155, zone2 ,M P. Nagar, Behind sargam talkies, Bhopal, 462016, India","3.4 km to city centre
0.7 km to Habibganj Railway Station",Free parking,"Rs6,526",,,Bhopal,12/02/2021,17/02/2021
11,Rajhans Regency,"271 zone-2 Mp Nagar, Close to Sargam Cinema, Bhopal, Madhya Pradesh, 462011, India","3.3 km to city centre
0.7 km to Habibganj Railway Station",Free parking,"Rs6,000",,,Bhopal,12/02/2021,17/02/2021
12,Sudarshan City Walk,"5th floor, city walk mall, Indore road, Lalghati, Bhopal, 462030, India","6.3 km to city centre
10 km to Habibganj Railway Station",Free parkingRestaurant,"Rs6,000",,,Bhopal,12/02/2021,17/02/2021
