,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Sangto Villa Resort,"Tukcha Main Road, Nomochok, Leh, Jammu and Kashmir, 194101, India","46 km to city centre
2.9 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs7,650","Exceptional 10.0
1 Hotels.com guest review",,Leh,12/02/2021,17/02/2021
1,The Abduz Leh,"Old Sheynam Road, Leh, 194101, India","45 km to city centre
2.8 km to Leh (IXL-Kushok Bakula Rinpoche)",PoolFree parkingAirport transferRestaurantInternet accessConnecting rooms available,"Rs40,000","Exceptional 10.0
1 Hotels.com guest review",,Leh,12/02/2021,17/02/2021
2,Pangong Heritage Camp,"Pangong Lake Road, Pangong, Spangmik, Leh, 194101, India","46 km to city centre
87 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurantBathtub,"Rs10,000","Fabulous 8.6
3 Hotels.com guest reviews",,Leh,12/02/2021,17/02/2021
3,Hotel Mandala Leh Ladakh,"Fort Road, Leh, Jammu and Kashmir 194101, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
2.6 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs70,000",,,Leh,12/02/2021,17/02/2021
4,White House bnb Leh,"white house bnb Fort Road, White House Complex, Leh, 19410, India","45 km to city centre
3.4 km to Leh (IXL-Kushok Bakula Rinpoche)",,"Rs20,000",,,Leh,12/02/2021,17/02/2021
5,White House bnb Leh,"white house bnb Fort Road, White House Complex, Leh, 19410, India","45 km to city centre
3.4 km to Leh (IXL-Kushok Bakula Rinpoche)",,"Rs20,000",,,Leh,12/02/2021,17/02/2021
6,The Maitreya Ladakh,"Katpa', Opposite Lamdon Senior Seconadary School, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
4.9 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingPet-friendly,"Rs38,000","Fabulous 8.6
4 Hotels.com guest reviews",,Leh,12/02/2021,17/02/2021
7,The Grand Dragon Ladakh,"Old Road Sheynam Leh, Union Territory of Ladakh, Leh, Leh, 194101, India","45 km to city centre
2.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingAirport transferGymRestaurantConnecting rooms available,"Rs15,400","Exceptional 9.6
17 Hotels.com guest reviews",,Leh,12/02/2021,17/02/2021
8,Hotel Ladakh Inn,"Chulung Old Road, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
3.0 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs22,200",,,Leh,12/02/2021,17/02/2021
9,Hotel Ladakh Inn,"Chulung Old Road, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
3.0 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs22,200",,,Leh,12/02/2021,17/02/2021
