,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Hotel Sita(place on heritage ghats of benaras),"22/16 Chausatthi Ghat (RANA GHAT), Near Dashaswamedh Ghat, Varanasi, Uttar Pradesh, 221001, India","14 km to city centre
0.1 km to Dasaswamedh ghat",Airport transferRestaurantInternet access,"Rs2,832","Good 6.6
30 Hotels.com guest reviews",,Varanasi,12/02/2021,17/02/2021
1,Vijaigarh kothi,"B1/3, Assi - Lanka Rd, Anandbagh, Bhelupur, Varanasi, Uttar Pradesh, 221005, India","15 km to city centre
2.1 km to Dasaswamedh ghat",Free parkingAirport transferRestaurant,"Rs7,000","Very good 8.0
1 Hotels.com guest review",,Varanasi,12/02/2021,17/02/2021
2,Hotel King's Banaras,"B-30/2 A-K-1, Gangabagh colony, Lanka, Varanasi, Uttar Pradesh, 221005, India","15 km to city centre
2.6 km to Dasaswamedh ghat",Free parking,"Rs5,880","Good 7.2
5 Hotels.com guest reviews",,Varanasi,12/02/2021,17/02/2021
3,Hotel King's Banaras,"B-30/2 A-K-1, Gangabagh colony, Lanka, Varanasi, Uttar Pradesh, 221005, India","15 km to city centre
2.6 km to Dasaswamedh ghat",Free parking,"Rs5,880","Good 7.2
5 Hotels.com guest reviews",,Varanasi,12/02/2021,17/02/2021
4,Hotel Buddha,"C-26/35 Lahurabir, (Behind Hotel Ajay), Varanasi, Uttar Pradesh, 221001, India","12 km to city centre
1.8 km to Dasaswamedh ghat",Free parkingAirport transferRestaurantBathtub,"Rs5,600","Very good 8.2
14 Hotels.com guest reviews",,Varanasi,12/02/2021,17/02/2021
5,Guleria Kothi,"Near Manikarnika Ghat, Garawasitola, Varanasi, Uttar Pradesh, 221001, India","14 km to city centre
1.0 km to Dasaswamedh ghat",Free parkingAirport transferRestaurant,"Rs19,000","Good 7.2
27 Hotels.com guest reviews",,Varanasi,12/02/2021,17/02/2021
6,Guleria Kothi,"Near Manikarnika Ghat, Garawasitola, Varanasi, Uttar Pradesh, 221001, India","14 km to city centre
1.0 km to Dasaswamedh ghat",Free parkingAirport transferRestaurant,"Rs19,000","Good 7.2
27 Hotels.com guest reviews",,Varanasi,12/02/2021,17/02/2021
7,OYO 13086 Temple City Guest House,"Temple City Guest House, B-2/225-B-2ka, Bhadaini Assi(near Bhadaini Power House), Varanasi, Uttar Pradesh, 221010, India","15 km to city centre
1.7 km to Dasaswamedh ghat",,"Rs3,134","Good 6.0
1 Hotels.com guest review",,Varanasi,12/02/2021,17/02/2021
8,Dwivedi Hotels Sri Omkar Palace,"D21/10 Chausatthi Ghat, Near Dashaswamedh Ghat, Varanasi, Uttar Pradesh, 221001, India","14 km to city centre
0.2 km to Dasaswamedh ghat",Airport transferRestaurant,"Rs3,564","Fabulous 8.6
47 Hotels.com guest reviews",,Varanasi,12/02/2021,17/02/2021
9,Somit Paying Guest House,"D 32/162, Devnathpura, bengali tola, near golden sporting club, Varanasi, Uttarpradesh, 221001, India","14 km to city centre
0.2 km to Dasaswamedh ghat",Parking availableAirport transferSpaGymRestaurantBar,"Rs1,085","Good 6.0
4 Hotels.com guest reviews",,Varanasi,12/02/2021,17/02/2021
10,Somit Paying Guest House,"D 32/162, Devnathpura, bengali tola, near golden sporting club, Varanasi, Uttarpradesh, 221001, India","14 km to city centre
0.2 km to Dasaswamedh ghat",Parking availableAirport transferSpaGymRestaurantBar,"Rs1,085","Good 6.0
4 Hotels.com guest reviews",,Varanasi,12/02/2021,17/02/2021
11,Hotel Janki Inn Varanasi,"C 14/175-3, Sigra, Varanasi, Uttar Pradesh, 221001, India","12 km to city centre
2.1 km to Dasaswamedh ghat",Free parkingRestaurant,"Rs3,960",,,Varanasi,12/02/2021,17/02/2021
12,Ramada Plaza by Wyndham JHV Varanasi,"The Mall, Cantonment, Varanasi, Uttar Pradesh, 221002, India","9.3 km to city centre
4.5 km to Dasaswamedh ghat",PoolFree parkingAirport transferSpaGymRestaurant,"Rs9,398","Good 7.6
72 Hotels.com guest reviews",,Varanasi,12/02/2021,17/02/2021
13,Hotel Pinnacle Gate,"Rishpattan Rd, Varanasi, UP, 221007, India","12 km to city centre
6.7 km to Dasaswamedh ghat",PoolAirport transferSpaGymRestaurantBar,"Rs7,200","4.0
1 Hotels.com guest review",,Varanasi,12/02/2021,17/02/2021
14,Dwivedi Hotels Hotel Elena,"D21/17 Ranamahal Ghat, Bangali Tola, Varanasi, 221001, India","14 km to city centre
0.2 km to Dasaswamedh ghat",Airport transferRestaurant,"Rs3,740","Good 7.8
10 Hotels.com guest reviews",,Varanasi,12/02/2021,17/02/2021
15,Castillo,"D 64 127 A, Shaheed Udyan, Sigra, Varanasi, Uttar Pradesh, 221010, India","12 km to city centre
2.5 km to Dasaswamedh ghat",Free parkingRestaurantBarConnecting rooms available,"Rs7,425","2.0
1 Hotels.com guest review",,Varanasi,12/02/2021,17/02/2021
16,Hotel Mastana Palace,"C 10/53-66 JIYAPURA , CHETGANJ, 221001 Varanasi India 221001, Varanasi, UP, 221001, India","12 km to city centre
1.6 km to Dasaswamedh ghat",Free parking,"Rs5,110",,,Varanasi,12/02/2021,17/02/2021
17,Starlit Select Nirvana,"Starlit Select Nirvana Hotel, The Mall Road, Cantonment, Varanasi, Uttar Pradesh, 221002, India","9.0 km to city centre
4.9 km to Dasaswamedh ghat",Free parkingAirport transfer,"Rs4,798",,,Varanasi,12/02/2021,17/02/2021
