,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Arctic Hills By Opulence Hotels,"Yog Street Tapovan Laxman jhula, Rishikesh, UK, 249195, India","7.0 km to city centre
15 km to Dehradun (DED-Jolly Grant)",Free parkingRestaurant,"Rs6,000",,,Rishikesh,12/02/2021,14/02/2021
1,The Ayali Prime,"Nim Beach Road, Badrinath Rd, near Aloha On The Ganges, Tapovan, Rishikesh, 249192, India","7.2 km to city centre
15 km to Dehradun (DED-Jolly Grant)",PoolFree parkingAirport transferSpaRestaurant,"Rs5,798",,,Rishikesh,12/02/2021,14/02/2021
2,Hotel The Grace,"Seema Dantel College, R-21 VIP Colony, Baraj Rd., Near AIIMS, Rishikesh, Uttarakhand, 249203, India","1.8 km to city centre
16 km to Dehradun (DED-Jolly Grant)",Free parkingRestaurant,"Rs6,300",,,Rishikesh,12/02/2021,14/02/2021
3,Hotel Indira Nikunj,"Lane No. 40, Sheesham Jadi, Rishikesh, Uttarakhand, 249137, India","4.4 km to city centre
14 km to Dehradun (DED-Jolly Grant)",Free parkingAirport transferRestaurant,"Rs4,200",,,Rishikesh,12/02/2021,14/02/2021
4,Hotel Ganesha Inn Ganga View,"Laxman Jhula Road, Tapovan, Rishikesh, Uttarakhand, 242201, India","6.6 km to city centre
15 km to Dehradun (DED-Jolly Grant)",Free parkingAirport transferSpaGymRestaurantInternet access,"Rs7,200",,,Rishikesh,12/02/2021,14/02/2021
5,Hotel Ganesha Inn Ganga View,"Laxman Jhula Road, Tapovan, Rishikesh, Uttarakhand, 242201, India","6.6 km to city centre
15 km to Dehradun (DED-Jolly Grant)",Free parkingAirport transferSpaGymRestaurantInternet access,"Rs7,200",,,Rishikesh,12/02/2021,14/02/2021
6,Skyard Hostel,"Lane Opp to, Little Budhha Cafe, Rishikesh, UK, 249302, India","6.7 km to city centre
15 km to Dehradun (DED-Jolly Grant)",Free parkingRestaurant,"Rs2,698",,,Rishikesh,12/02/2021,14/02/2021
7,Hotel Samsara By The Ganges,"Plot No-7, Awas Vikas, Virbhadra Marg, Near Aiims Hospital, Rishikesh, Uttarakhand, 249201, India","1.6 km to city centre
15 km to Dehradun (DED-Jolly Grant)",Free parkingRestaurant,"Rs8,400",,,Rishikesh,12/02/2021,14/02/2021
8,Hotel Nirvana,"Near Anand Dham, Paidal Marg, Laxmanjhula, Tapovan, Rishikesh, Uttarakhand, 249192, India","6.8 km to city centre
15 km to Dehradun (DED-Jolly Grant)",Free parking,"Rs1,419",,,Rishikesh,12/02/2021,14/02/2021
9,Hotel Nirvana,"Near Anand Dham, Paidal Marg, Laxmanjhula, Tapovan, Rishikesh, Uttarakhand, 249192, India","6.8 km to city centre
15 km to Dehradun (DED-Jolly Grant)",Free parking,"Rs1,419",,,Rishikesh,12/02/2021,14/02/2021
