,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Golden Tulip Vasundhara,"C-5 Sector-18, Vasundhara, Noida, Delhi N.C.R, 201010, India","12 km to city centre
28 km to Indira Gandhi International Airport (DEL)",PoolFree parkingGymRestaurantBar,"Rs7,840","Good 7.4
9 Hotels.com guest reviews",,Noida,12/02/2021,17/02/2021
1,Hotel Aarkay Palace,"Khasra No.513, C Block, Sector 44 Noida, Uttar Pradesh, Noida, Uttar Pradesh, 201303, India","4.7 km to city centre
25 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurant,"Rs5,396",,,Noida,12/02/2021,17/02/2021
2,Ahuja Residency Sector 44 Noida,"C-56 Sector 44, Noida, 201301, India","4.7 km to city centre
25 km to Indira Gandhi International Airport (DEL)",Free parkingRestaurant,"Rs6,000",,,Noida,12/02/2021,17/02/2021
3,Ahuja Residency Sector 44 Noida,"C-56 Sector 44, Noida, 201301, India","4.7 km to city centre
25 km to Indira Gandhi International Airport (DEL)",Free parkingRestaurant,"Rs6,000",,,Noida,12/02/2021,17/02/2021
4,Radisson Blu Hotel Noida,"L 2 Sector 18, Noida, Uttar Pradesh, 201301, India","6.3 km to city centre
23 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs8,600","Fabulous 8.8
63 Hotels.com guest reviews",,Noida,12/02/2021,17/02/2021
5,Yu Turn Townhouse,"Khasra No. 111, Near Shri Ram School, Wazidpur, Sector 135, Noida, Uttar Pradesh, 201301, India","6.1 km to city centre
31 km to Indira Gandhi International Airport (DEL)",Free parking,"Rs5,100",,,Noida,12/02/2021,17/02/2021
6,Yu Turn Townhouse,"Khasra No. 111, Near Shri Ram School, Wazidpur, Sector 135, Noida, Uttar Pradesh, 201301, India","6.1 km to city centre
31 km to Indira Gandhi International Airport (DEL)",Free parking,"Rs5,100",,,Noida,12/02/2021,17/02/2021
7,OYO 12779 5 seas Hotel and Banquet,"1363, 1363 Sector 5, Noida, Uttar Pradesh, 201012, India","12 km to city centre
31 km to Indira Gandhi International Airport (DEL)",Free parking,"Rs5,972",,,Noida,12/02/2021,17/02/2021
8,GINGER Noida City Center,"46/1 A, Block-H Sector - 63, Noida, Uttar Pradesh, 201301, India","8.1 km to city centre
29 km to Indira Gandhi International Airport (DEL)",GymRestaurantBar,"Rs7,378","Good 7.2
5 Hotels.com guest reviews",,Noida,12/02/2021,17/02/2021
9,Hotel Cavendish,"288 Link Road Sector 104 Noida, hajipur near rajdhni marriage garden, Noida, UP, 201301, India","2.0 km to city centre
28 km to Indira Gandhi International Airport (DEL)",Free parking,"Rs4,000",,,Noida,12/02/2021,17/02/2021
