,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Radisson Blu Jaipur,"Plot No 5 & 6 Airport Plaza, Tonk Road, Jaipur, Rajasthan, 302018, India","7.2 km to city centre
8.4 km to M.I. Road",PoolFree parkingAirport transferSpaGymRestaurant,"Rs10,998","Good 7.8
54 Hotels.com guest reviews",,Jaipur,12/02/2021,17/02/2021
1,Trimrooms Mount Blue,"63-A, Mount Road, Ramgarhmode, Jaipur, RJ, 302002, India","11 km to city centre
4.6 km to M.I. Road",Free parkingAirport transferRestaurant,"Rs3,958","Exceptional 10.0
1 Hotels.com guest review",,Jaipur,12/02/2021,17/02/2021
2,Rajputana Diaries,"Sawai Jai Singh Hwy, Jaipur, RJ, 302016, India","5.9 km to city centre
1.9 km to M.I. Road",Free parkingRestaurant,"Rs1,999",,,Jaipur,12/02/2021,17/02/2021
3,Rajputana Diaries,"Sawai Jai Singh Hwy, Jaipur, RJ, 302016, India","5.9 km to city centre
1.9 km to M.I. Road",Free parkingRestaurant,"Rs1,999",,,Jaipur,12/02/2021,17/02/2021
4,Jasoda Heritage by Keshav Global Hotels,"Rochees Marg, J.D.A. Market, Behind Kale Ke Hanuman Ji Temple, Jaipur, Rajasthan, 302002, India","9.2 km to city centre
2.6 km to M.I. Road",Free parkingRestaurantBar,"Rs2,421",,,Jaipur,12/02/2021,17/02/2021
5,The Fern - An Ecotel Hotel Jaipur,"3, Airport Plaza , Nr.Durgapura, Tonk Road, Jaipur, Rajasthan, 3020018, India","7.2 km to city centre
8.4 km to M.I. Road",PoolFree parkingAirport transferSpaRestaurantBar,"Rs27,845","Good 7.8
7 Hotels.com guest reviews",,Jaipur,12/02/2021,17/02/2021
6,The Fern - An Ecotel Hotel Jaipur,"3, Airport Plaza , Nr.Durgapura, Tonk Road, Jaipur, Rajasthan, 3020018, India","7.2 km to city centre
8.4 km to M.I. Road",PoolFree parkingAirport transferSpaRestaurantBar,"Rs27,845","Good 7.8
7 Hotels.com guest reviews",,Jaipur,12/02/2021,17/02/2021
7,OYO 24936 Hotel C-9,"S-2,Near Jaipur Electronic Market, Ridhi Sidhi Chouraha, Gopalpura Bypass, Jaipur, Rajasthan, 302018, India","3.6 km to city centre
6.0 km to M.I. Road",Free parkingBathtub,"Rs3,402",,,Jaipur,12/02/2021,17/02/2021
8,Hotel Ashapurna,"P No. 12, Shastri Nagar, Subhash Nagar, Jaipur, Rajasthan, 302016, India","7.2 km to city centre
2.2 km to M.I. Road",Free parking,"Rs3,224",,,Jaipur,12/02/2021,17/02/2021
9,Hotel Ratnawali,"New Colony, Near Panch batti, M.I.Road, Jaipur, Rajasthan, 302001, India","6.9 km to city centre
0.4 km to M.I. Road",Free parkingAirport transferRestaurantBar,"Rs5,000","Very good 8.4
10 Hotels.com guest reviews",,Jaipur,12/02/2021,17/02/2021
