,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Hotel Sohi Residency,"8/25, W.E.A., Karol Bagh, New Delhi, Delhi N.C.R, 110005, India","3.4 km to city centre
14 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferGymMeeting Facilities,"Rs4,755",,,New Delhi,12/02/2021,14/02/2021
1,The Metropolitan Hotel and Spa New Delhi,"Bangla Sahib Road, Connaught Place, New Delhi, Delhi N.C.R, 110 001, India","1.1 km to city centre
15 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs7,000",Very good 8.2,,New Delhi,12/02/2021,14/02/2021
2,Sumedha Premium,"B-11, Greater Kailash Enclave 2, New Delhi, Delhi N.C.R., 110048, India","10 km to city centre
15 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurantConnecting rooms available,"Rs3,198",,,New Delhi,12/02/2021,14/02/2021
3,Sumedha Premium,"B-11, Greater Kailash Enclave 2, New Delhi, Delhi N.C.R., 110048, India","10 km to city centre
15 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurantConnecting rooms available,"Rs3,198",,,New Delhi,12/02/2021,14/02/2021
4,Hotel ARCH,"A-74, Road No. 4, Near IGI Airport, Mahipalpur, New Delhi, 110037, India","13 km to city centre
4.2 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurantInternet accessMeeting Facilities,"Rs2,899",,,New Delhi,12/02/2021,14/02/2021
5,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Diplomatic Enclave, Sadar Patel, New Delhi, Delhi N.C.R, 110021, India","6.1 km to city centre
9.6 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs9,880",,,New Delhi,12/02/2021,14/02/2021
6,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Diplomatic Enclave, Sadar Patel, New Delhi, Delhi N.C.R, 110021, India","6.1 km to city centre
9.6 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs9,880",,,New Delhi,12/02/2021,14/02/2021
7,Vibe By The Lalit Traveller,"12/7, Mathura Road, Near Toll Plaza,, Sector - 35, Faridabad, Haryana, 121003, India","20 km to city centre
23 km to Indira Gandhi International Airport (DEL)",Free parkingGymRestaurantBarBathtubInternet access,"Rs5,490",,,New Delhi,12/02/2021,14/02/2021
8,ADB Rooms Gaurav Guest House,"9201/4,Multani Dhanda, Paharganj, New Delhi, DL, 110055, India","1.9 km to city centre
16 km to Indira Gandhi International Airport (DEL)",Bathtub,"Rs2,400",,,New Delhi,12/02/2021,14/02/2021
9,Radisson Blu Marina Hotel Connaught Place,"G-59 Connaught Place, New Delhi, Delhi N.C.R, 110001, India","0.3 km to city centre
15 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferSpaGymRestaurantBar,"Rs7,199",,,New Delhi,12/02/2021,14/02/2021
