,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,ibis Bengaluru City Centre Hotel,"Opp. Kanteerava Stadium/Mallya Hospital, Raja Ram Mohan Roy Road, Bengaluru, Karnataka, 560027, India","0.6 km to Bengaluru, Karnataka, India
5.0 km to Bengaluru",Free parkingAirport transferGym,"Rs3,899",,,Banglore,12/02/2021,14/02/2021
1,St. Mark's Hotel,"4/1, St Mark's Road, Near Residency Rd, Near M G Rd, Bengaluru, Karnataka, 560001, India","0.7 km to Bengaluru, Karnataka, India
5.6 km to Bengaluru",Free parkingAirport transferGym,"Rs5,400",Exceptional 9.4,,Banglore,12/02/2021,14/02/2021
2,Stylotel By Jagadish – Brigade Road,"No 124, Brigade road, Opposite, Brigade towers Near Vellara Junction, Bengaluru, Karnataka, 560050, India","1.4 km to Bengaluru, Karnataka, India
6.3 km to Bengaluru",Air Conditioning,"Rs3,997",,,Banglore,12/02/2021,14/02/2021
3,"ITC Gardenia, a Luxury Collection Hotel, Bengaluru","No.1, Residency Road, Bengaluru, Karnataka, 560001, India","0.1 km to Bengaluru, Karnataka, India
5.0 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs9,750",,,Banglore,12/02/2021,14/02/2021
4,Vivanta Bengaluru Residency Road,"No, 66, Residency Road, Bengaluru, Karnataka, 560025, India","1.5 km to Bengaluru, Karnataka, India
6.2 km to Bengaluru",PoolAirport transferSpaGym,"Rs6,700",,,Banglore,12/02/2021,14/02/2021
5,Vivanta Bengaluru Residency Road,"No, 66, Residency Road, Bengaluru, Karnataka, 560025, India","1.5 km to Bengaluru, Karnataka, India
6.2 km to Bengaluru",PoolAirport transferSpaGym,"Rs6,700",,,Banglore,12/02/2021,14/02/2021
6,Capital O 1324 SV Prasino,"5 LRDE Layout Karthik Nagar Outer Ring, Road Marathahalli g Road, Marathahalli, Bengaluru, Karnataka, 560037, India","12 km to Bengaluru, Karnataka, India
16 km to Bengaluru",Air Conditioning,"Rs1,919",,,Banglore,12/02/2021,14/02/2021
7,Adarsh Hamilton,"2/4, Langford Garden Road, Richmond Town, Bengaluru, Karnataka, 560025, India","0.9 km to Bengaluru, Karnataka, India
5.7 km to Bengaluru",Free parkingAirport transferGymBathtub,"Rs8,000",,,Banglore,12/02/2021,14/02/2021
8,Radisson Blu Atria Bengaluru,"No. 1 Palace Road, Bengaluru, Karnataka, 560 001, India","1.4 km to Bengaluru, Karnataka, India
3.6 km to Bengaluru",PoolFree parkingSpaGym,"Rs6,120",,,Banglore,12/02/2021,14/02/2021
9,Radisson Blu Atria Bengaluru,"No. 1 Palace Road, Bengaluru, Karnataka, 560 001, India","1.4 km to Bengaluru, Karnataka, India
3.6 km to Bengaluru",PoolFree parkingSpaGym,"Rs6,120",,,Banglore,12/02/2021,14/02/2021
10,WelcomHotel Bengaluru - Member ITCHotel Group,"46, Richmond Road - Off M.G Road, Bengaluru, Karnataka, 560 025, India","2.2 km to Bengaluru, Karnataka, India
7.0 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs5,500",Very good 8.4,,Banglore,12/02/2021,14/02/2021
11,The Chancery Pavilion,"135 Residency Road, Bengaluru, Karnataka, 560025, India","0.7 km to Bengaluru, Karnataka, India
5.6 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs5,000",,,Banglore,12/02/2021,14/02/2021
12,Oakwood Premier Prestige Bangalore,"Vittal Mallya Road, UB City, Bengaluru, Karnataka, 56000, India","0.1 km to Bengaluru, Karnataka, India
4.9 km to Bengaluru",PoolAirport transferSpaGym,"Rs8,644",,,Banglore,12/02/2021,14/02/2021
13,Fortune Select JP Cosmos-Member ITC Hotel Group,"No 49 Cunningham Crescent Road, Behind Sigma Mall, Bengaluru, Karnataka, 560052, India","2.0 km to Bengaluru, Karnataka, India
4.3 km to Bengaluru",PoolFree parkingAirport transferSpaGymBathtub,"Rs5,670",,,Banglore,12/02/2021,14/02/2021
14,Octave Church Inn,"52 Church St, Bengaluru, KA, 560001, India","1.2 km to Bengaluru, Karnataka, India
5.8 km to Bengaluru",Free parking,"Rs2,675",,,Banglore,12/02/2021,14/02/2021
15,Radisson Bengaluru City Center,"2, Gangadhar Chetty Road, Ulsoor, Bengaluru, Karnataka, 560042, India","2.5 km to Bengaluru, Karnataka, India
6.7 km to Bengaluru",PoolFree parkingAirport transferSpaGymBathtub,"Rs6,800",Fabulous 8.8,,Banglore,12/02/2021,14/02/2021
16,Taj West End,"#25 Race Course Road, Bengaluru, Karnataka, 560 001, India","1.7 km to Bengaluru, Karnataka, India
3.4 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs17,750",,,Banglore,12/02/2021,14/02/2021
17,Octave Hotel Double Rd,"114 KH Road (Double Road), Opposite Canara Bank, Bengaluru, Karnataka, 560027, India","1.3 km to Bengaluru, Karnataka, India
5.6 km to Bengaluru",Free parking,"Rs2,623",,,Banglore,12/02/2021,14/02/2021
