,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,Radisson Blu Hotel Nagpur,"7 Wardha Road, Nagpur, Maharashtra, 440015, India","12 km to city centre
2.5 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs14,000",Fabulous 8.6,,Nagpur,12/02/2021,14/02/2021
1,The Pride Hotel Nagpur,"Opp Airport Wardha Road, Nagpur, Maharashtra, 440025, India","10 km to city centre
1.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs7,798",,,Nagpur,12/02/2021,14/02/2021
2,Hotel Centre Point,"No. 24 Central Bazaar Road, Ramdaspeth, Nagpur, Maharashtra, 440016, India","15 km to city centre
5.6 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs8,541",,,Nagpur,12/02/2021,14/02/2021
3,JK Rooms 103 Loharkars Hotel,"135, Lendrapark, Near Central Mall, East High Court Road, Ramdaspeth, Nagpur, Maharashtra, 440010, India","15 km to city centre
5.4 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingGym,"Rs4,900",,,Nagpur,12/02/2021,14/02/2021
4,HOTEL CHANAKYA,"MODI NO.3, SITA BULDI, Nagpur, MAHARASHTRA, 440012, India","17 km to city centre
6.8 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parking,"Rs2,800",,,Nagpur,12/02/2021,14/02/2021
5,HOTEL CHANAKYA,"MODI NO.3, SITA BULDI, Nagpur, MAHARASHTRA, 440012, India","17 km to city centre
6.8 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parking,"Rs2,800",,,Nagpur,12/02/2021,14/02/2021
6,Hotel Flora Inn,"Plot No.2164 Somalwada Besa Road Satpute, Near Mahatme Eye Hospital, Rajiv Nagar, Nagpur, Maharashtra, 440025, India","12 km to city centre
1.9 km to Nagpur (NAG-Dr. Ambedkar Intl.)",,"Rs3,798",,,Nagpur,12/02/2021,14/02/2021
7,Tuli Imperial,"37, Farmland, Central Bazaar Road, Ramdaspeth, Nagpur, Maharashtra, 440010, India","18 km to city centre
8.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolFree parkingAirport transferGymRestaurantBar,"Rs11,000",,,Nagpur,12/02/2021,14/02/2021
8,Treebo Trend Hotel A1,"Plot No. 23, Wardha Road, Bhagyada Society, Nagpur, Maharashtra, 440015, India","12 km to city centre
2.9 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingRestaurant,"Rs5,157",,,Nagpur,12/02/2021,14/02/2021
9,Treebo Trend Hotel A1,"Plot No. 23, Wardha Road, Bhagyada Society, Nagpur, Maharashtra, 440015, India","12 km to city centre
2.9 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingRestaurant,"Rs5,157",,,Nagpur,12/02/2021,14/02/2021
